time_entry_id,ro_id,tech_id,job_code,flagged_hours,actual_hours,effective_rate
130066,110031,1011,MAINT,2.87,2.5,171.32
130067,110031,1013,BRK,3.58,3.96,171.32
130068,110032,1013,MAINT,0.95,1.1,244.45
130069,110033,1001,LOF,1.22,1.25,273.21
130070,110033,1001,LOF,0.38,0.43,273.21
130071,110034,1011,MAINT,1.69,1.61,511.31
130072,110035,1001,LOF,2.49,2.64,23.52
130073,110035,1019,WARR,3.04,2.43,23.52
130074,110036,1011,DIAG,1.05,0.96,30.19
130075,110037,1013,ALIGN,1.43,1.62,272.2
130076,110038,1011,DIAG,2.45,2.28,184.14
130077,110038,1011,ALIGN,0.38,0.33,184.14
130078,110038,1011,BRK,2.83,3.13,184.14
130079,110039,1013,DIAG,3.13,2.9,162.91
130080,110039,1001,DIAG,1.25,1.35,162.91
130081,110039,1001,ALIGN,1.88,2.0,162.91
130082,110040,1001,DIAG,1.47,1.31,126.74
130083,110040,1001,LOF,3.71,3.67,126.74
130084,110040,1000,DIAG,3.67,3.77,126.74
130085,110041,1000,LOF,3.58,3.36,670.69
130086,110042,1019,MAINT,0.8,0.85,61.64
130087,110042,1011,BRK,3.73,3.21,61.64
130088,110042,1013,LOF,0.56,0.65,61.64
130089,110043,1019,DIAG,0.86,0.8,164.84
130090,110044,1001,MAINT,1.91,1.88,384.86
130091,110045,1011,MAINT,0.94,0.99,253.77
130092,110045,1013,DIAG,3.13,2.73,253.77
130093,110046,1019,BRK,1.54,1.39,1515.1
130094,110047,1001,LOF,2.77,2.59,83.64
130095,110047,1019,WARR,2.98,2.65,83.64
130096,110047,1019,ALIGN,3.45,2.82,83.64
130097,110048,1000,LOF,2.91,2.51,59.43
130098,110049,1000,TIRES,0.65,0.74,127.48
130099,110050,1000,MAINT,1.4,1.49,53.42
130100,110050,1013,ALIGN,1.68,1.45,53.42
130101,110050,1013,TIRES,1.84,1.84,53.42
130102,110051,1019,TIRES,0.68,0.7,130.4
130103,110052,1011,TIRES,2.36,1.94,468.89
130104,110052,1000,BRK,3.08,3.5,468.89
130105,110053,1013,DIAG,0.96,1.12,819.82
130106,110053,1011,ALIGN,2.66,2.64,819.82
130107,110054,1013,TIRES,3.17,3.75,287.07
130108,110054,1011,WARR,3.8,3.65,287.07
130109,110055,1001,LOF,0.74,0.72,66.66
130110,110055,1019,LOF,1.4,1.22,66.66
130111,110055,1001,LOF,2.94,2.86,66.66
130112,110056,1000,BRK,1.02,0.82,51.28
130113,110057,1001,WARR,0.9,0.81,507.65
130114,110057,1013,ALIGN,3.9,3.56,507.65
130115,110058,1000,BRK,3.16,3.41,84.46
130116,110058,1001,WARR,2.04,2.13,84.46
130117,110058,1019,ALIGN,3.11,3.22,84.46
130118,110059,1001,ALIGN,2.43,2.46,487.2
130119,110059,1019,BRK,2.88,2.43,487.2
130120,110060,1013,BRK,1.11,1.08,714.99
130121,110061,1000,BRK,2.85,2.47,156.88
130122,110061,1001,ALIGN,0.32,0.38,156.88
130123,110061,1001,WARR,1.55,1.58,156.88
130124,110062,1011,WARR,0.31,0.33,360.54
130125,110063,1001,ALIGN,1.3,1.5,162.69
130126,110064,1001,DIAG,0.31,0.29,210.33
130127,110064,1019,WARR,3.42,3.58,210.33
130128,110064,1013,ALIGN,2.56,2.11,210.33
130129,110065,1013,LOF,1.9,2.15,464.69
130130,110065,1019,LOF,3.47,3.02,464.69
130131,110065,1013,MAINT,3.56,3.56,464.69
130132,110066,1000,ALIGN,1.09,1.08,571.33
130133,110067,1019,WARR,2.65,3.06,41.67
130134,110067,1001,DIAG,3.08,3.41,41.67
130135,110068,1011,WARR,0.69,0.67,224.42
130136,110068,1001,LOF,0.7,0.83,224.42
130137,110069,1001,MAINT,2.17,1.87,209.99
130138,110069,1019,WARR,2.55,2.14,209.99
130139,110069,1011,LOF,2.18,2.59,209.99
130140,110070,1000,ALIGN,3.03,3.31,537.06
130141,110070,1000,DIAG,2.06,2.23,537.06
130142,110071,1000,DIAG,2.12,1.78,124.66
130143,110071,1019,LOF,3.1,3.38,124.66
130144,110072,1019,BRK,2.65,3.11,60.91
130145,110073,1000,ALIGN,3.31,2.98,125.63
130146,110073,1013,BRK,0.77,0.8,125.63
130147,110073,1000,TIRES,2.0,2.0,125.63
130148,110074,1001,ALIGN,1.85,2.11,70.62
130149,110074,1013,LOF,2.86,2.69,70.62
130150,110074,1001,MAINT,3.02,2.44,70.62
130151,110075,1013,ALIGN,1.69,1.82,35.16
130152,110075,1011,ALIGN,1.72,1.49,35.16
130153,110076,1011,ALIGN,0.81,0.79,597.98
130154,110077,1001,TIRES,2.49,2.88,8.89
130155,110077,1013,MAINT,1.51,1.57,8.89
130156,110077,1011,LOF,2.65,2.93,8.89
130157,110078,1011,MAINT,3.49,2.82,198.49
130158,110078,1013,DIAG,2.06,2.28,198.49
130159,110078,1000,WARR,2.48,2.97,198.49
130160,110079,1000,ALIGN,2.42,2.32,1231.56
130161,110079,1013,TIRES,0.31,0.34,1231.56
130162,110080,1011,MAINT,2.81,2.53,109.89
130163,110080,1013,TIRES,2.59,2.66,109.89
130164,110080,1019,WARR,0.58,0.58,109.89
130165,110081,1013,LOF,3.43,2.9,561.05
130166,110081,1011,LOF,1.37,1.35,561.05
130167,110081,1019,BRK,1.78,1.84,561.05
130168,110082,1000,TIRES,1.38,1.43,86.84
130169,110082,1019,LOF,1.37,1.1,86.84
130170,110083,1000,TIRES,2.67,3.0,483.68
130171,110083,1000,LOF,3.87,3.28,483.68
130172,110083,1000,DIAG,1.77,2.1,483.68
130173,110084,1000,BRK,1.37,1.43,59.9
130174,110084,1019,WARR,3.41,2.97,59.9
130175,110085,1001,BRK,1.63,1.37,334.79
130176,110085,1019,LOF,2.36,2.4,334.79
130177,110086,1011,MAINT,3.28,3.06,158.25
130178,110086,1019,ALIGN,3.31,3.38,158.25
130179,110086,1000,ALIGN,3.03,2.74,158.25
130180,110087,1000,LOF,1.84,2.11,145.97
130181,110087,1011,BRK,3.72,3.64,145.97
130182,110088,1011,MAINT,0.3,0.25,151.71
130183,110089,1019,WARR,3.11,2.99,974.83
130184,110089,1001,BRK,3.18,3.0,974.83
130185,110090,1011,WARR,1.73,1.45,21.14
130186,110090,1019,MAINT,2.39,2.7,21.14
130187,110091,1019,WARR,1.9,1.95,1676.37
130188,110091,1000,MAINT,2.08,2.26,1676.37
130189,110092,1000,BRK,2.26,1.95,196.82
130190,110093,1011,MAINT,2.63,2.32,356.27
130191,110094,1011,TIRES,0.48,0.44,381.58
130192,110095,1000,DIAG,0.79,0.82,378.6
130193,110095,1013,ALIGN,2.09,2.23,378.6
130194,110096,1011,BRK,3.33,3.16,550.19
130195,110096,1001,BRK,1.7,1.9,550.19
130196,110097,1013,WARR,3.67,3.83,145.87
130197,110097,1013,WARR,2.07,1.92,145.87
130198,110098,1000,ALIGN,0.98,1.12,123.73
130199,110099,1011,DIAG,1.53,1.36,336.91
130200,110100,1013,TIRES,1.26,1.16,302.02
130201,110101,1011,ALIGN,1.37,1.53,119.63
130202,110101,1001,BRK,1.12,1.09,119.63
130203,110101,1019,LOF,3.44,3.88,119.63
130204,110102,1001,TIRES,0.32,0.36,69.42
130205,110102,1000,LOF,1.53,1.44,69.42
130206,110103,1000,BRK,3.37,3.91,83.85
130207,110103,1001,BRK,3.04,2.91,83.85
130208,110103,1013,LOF,3.74,3.09,83.85
130209,110104,1013,LOF,0.83,0.99,215.63
130210,110104,1019,MAINT,1.87,1.7,215.63
130211,110104,1011,MAINT,1.21,1.14,215.63
130212,110105,1001,ALIGN,1.49,1.39,91.6
130213,110105,1011,LOF,2.77,2.4,91.6
130214,110105,1013,BRK,2.94,2.72,91.6
130215,110106,1000,DIAG,1.51,1.43,112.36
130216,110106,1000,ALIGN,0.55,0.51,112.36
130217,110106,1011,ALIGN,3.45,2.83,112.36
130218,110107,1011,DIAG,1.26,1.24,111.32
130219,110108,1011,WARR,3.13,3.3,140.91
130220,110109,1011,BRK,1.4,1.61,141.7
130221,110110,1019,DIAG,0.74,0.76,55.32
130222,110110,1019,LOF,1.04,0.95,55.32
130223,110111,1019,BRK,1.53,1.52,147.49
130224,110112,1013,BRK,1.02,1.03,56.01
130225,110113,1019,ALIGN,2.85,2.55,85.43
130226,110114,1013,ALIGN,1.88,1.53,1716.31
130227,110115,1019,BRK,3.59,4.04,124.76
130228,110115,1019,DIAG,1.6,1.39,124.76
130229,110115,1019,DIAG,1.03,0.94,124.76
130230,110116,1001,BRK,1.47,1.21,72.28
130231,110117,1001,TIRES,2.86,2.76,48.64
130232,110117,1019,BRK,3.0,2.98,48.64
130233,110118,1011,DIAG,2.19,2.51,1223.74
130234,110119,1013,DIAG,2.07,1.9,49.15
130235,110119,1013,LOF,0.62,0.61,49.15
130236,110119,1000,TIRES,2.49,2.39,49.15
