visit_id,store_id,customer_id,vehicle_id,salesperson_id,manager_id,test_drive_flag,pencil_count,wrote_deal_flag,time_in,time_out
65024,1,5019,9078,1018,1027,False,4,True,2025-09-26T06:39:00,2025-09-26T07:17:35.043003
65025,1,5076,9019,1007,1023,True,2,False,2025-10-21T20:46:00,2025-10-21T22:27:01.035746
65026,1,5100,9010,1007,1022,True,1,True,2025-10-14T11:45:00,2025-10-14T12:41:32.169053
65027,1,5019,9013,1009,1003,True,3,False,2025-09-27T06:23:00,2025-09-27T08:28:37.303401
65028,1,5107,9065,1009,1027,False,3,False,2025-10-09T03:07:00,2025-10-09T04:06:07.641406
65029,2,5070,9043,1018,1027,True,4,True,2025-10-11T04:07:00,2025-10-11T05:02:22.921928
65030,1,5069,9029,1007,1023,True,2,False,2025-09-25T01:50:00,2025-09-25T04:00:09.502150
65031,2,5011,9049,1007,1014,True,2,False,2025-10-14T04:57:00,2025-10-14T05:39:35.718302
65032,1,5081,9073,1009,1023,True,3,True,2025-08-31T04:11:00,2025-08-31T05:42:23.263611
65033,1,5106,9005,1018,1027,False,1,True,2025-09-20T06:28:00,2025-09-20T08:07:56.270511
65034,1,5003,9012,1007,1027,True,1,False,2025-09-18T05:06:00,2025-09-18T05:49:35.055472
65035,1,5021,9052,1018,1023,True,1,False,2025-10-08T04:01:00,2025-10-08T06:29:18.630109
65036,2,5035,9068,1018,1022,True,2,False,2025-09-07T02:57:00,2025-09-07T05:48:29.135960
65037,2,5005,9023,1007,1022,True,3,True,2025-09-20T05:48:00,2025-09-20T08:08:42.994219
65038,2,5110,9056,1009,1003,True,2,True,2025-09-25T08:55:00,2025-09-25T09:46:03.834663
65039,2,5080,9038,1009,1023,True,3,True,2025-09-14T01:59:00,2025-09-14T02:58:53.021803
65040,2,5098,9022,1009,1022,False,4,False,2025-09-26T01:54:00,2025-09-26T03:17:16.377927
65041,1,5093,9065,1007,1027,False,4,True,2025-10-02T02:51:00,2025-10-02T05:04:03.358859
65042,2,5049,9033,1009,1027,True,3,True,2025-10-21T05:59:00,2025-10-21T07:54:18.401743
65043,2,5071,9031,1007,1014,True,2,True,2025-09-04T23:55:00,2025-09-05T02:09:56.884438
65044,1,5026,9043,1007,1003,True,2,True,2025-09-05T07:40:00,2025-09-05T09:20:09.193776
65045,2,5088,9063,1009,1027,True,1,True,2025-10-02T09:33:00,2025-10-02T11:13:05.221849
65046,2,5029,9049,1007,1023,True,4,True,2025-09-25T00:38:00,2025-09-25T01:23:41.516695
65047,1,5068,9074,1007,1023,False,3,True,2025-09-23T05:39:00,2025-09-23T07:46:10.931821
65048,1,5088,9010,1009,1023,False,4,False,2025-10-01T08:27:00,2025-10-01T10:19:01.002959
65049,2,5096,9031,1009,1003,False,3,False,2025-09-20T21:38:00,2025-09-20T23:52:10.485941
65050,2,5050,9008,1018,1014,True,1,False,2025-10-11T01:46:00,2025-10-11T03:46:08.477292
65051,1,5072,9023,1009,1022,True,3,False,2025-10-26T09:48:00,2025-10-26T12:29:36.894419
65052,1,5020,9039,1007,1003,True,3,False,2025-09-08T11:19:00,2025-09-08T12:49:06.751146
65053,1,5077,9047,1018,1003,False,2,False,2025-09-12T01:52:00,2025-09-12T04:46:47.120499
65054,1,5104,9039,1007,1027,True,2,False,2025-10-19T02:46:00,2025-10-19T05:14:17.124782
65055,1,5039,9031,1009,1022,True,2,True,2025-10-11T05:47:00,2025-10-11T07:25:48.421676
65056,2,5055,9056,1007,1003,True,2,True,2025-10-17T22:48:00,2025-10-17T23:43:48.615908
65057,1,5073,9011,1018,1027,True,3,True,2025-09-06T00:29:00,2025-09-06T02:47:37.209487
65058,1,5085,9079,1009,1023,True,4,False,2025-10-14T03:42:00,2025-10-14T04:35:53.968239
65059,2,5100,9035,1009,1027,False,1,True,2025-09-05T10:25:00,2025-09-05T13:11:55.497414
65060,1,5033,9076,1009,1027,False,3,False,2025-10-03T02:07:00,2025-10-03T03:24:45.210286
65061,2,5094,9075,1018,1014,True,1,True,2025-09-07T08:42:00,2025-09-07T11:01:33.348968
65062,1,5105,9005,1007,1014,False,2,False,2025-10-06T03:38:00,2025-10-06T05:48:28.890101
65063,2,5058,9030,1018,1003,False,4,False,2025-10-17T04:01:00,2025-10-17T05:26:22.193096
65064,1,5026,9008,1009,1022,True,2,True,2025-09-30T03:26:00,2025-09-30T05:32:50.195417
65065,2,5045,9036,1018,1014,True,2,True,2025-09-21T10:05:00,2025-09-21T10:48:55.653171
65066,2,5088,9008,1007,1023,True,4,True,2025-08-27T13:04:00,2025-08-27T14:32:01.339641
65067,1,5100,9005,1009,1003,False,3,False,2025-10-14T08:18:00,2025-10-14T09:47:43.945268
65068,2,5022,9020,1007,1014,True,2,False,2025-10-13T22:15:00,2025-10-13T23:00:12.645868
65069,2,5079,9069,1007,1022,True,4,True,2025-08-27T03:39:00,2025-08-27T05:06:35.912569
65070,2,5086,9024,1009,1022,False,1,False,2025-09-02T04:31:00,2025-09-02T05:09:10.601597
65071,2,5082,9059,1018,1003,True,4,False,2025-10-03T05:53:00,2025-10-03T08:23:21.765557
65072,2,5017,9061,1007,1023,False,4,True,2025-09-20T04:43:00,2025-09-20T07:19:37.515656
65073,1,5053,9046,1007,1014,True,3,True,2025-09-16T01:29:00,2025-09-16T02:56:31.246409
65074,2,5030,9073,1009,1003,True,3,True,2025-09-26T23:03:00,2025-09-27T01:34:55.515984
65075,2,5096,9048,1009,1014,True,3,True,2025-10-19T05:04:00,2025-10-19T07:44:11.070453
65076,2,5081,9041,1007,1003,True,2,True,2025-09-25T00:36:00,2025-09-25T01:56:37.155703
65077,2,5043,9045,1009,1014,True,1,False,2025-10-03T05:09:00,2025-10-03T06:41:33.542104
65078,1,5080,9012,1018,1003,False,2,True,2025-10-26T04:24:00,2025-10-26T05:47:35.200339
65079,1,5048,9008,1018,1027,True,4,True,2025-10-07T02:23:00,2025-10-07T04:13:14.866802
65080,2,5043,9032,1018,1022,True,4,True,2025-09-24T01:10:00,2025-09-24T02:21:12.266101
65081,1,5116,9014,1007,1023,True,1,True,2025-10-07T11:25:00,2025-10-07T12:43:59.296293
65082,1,5069,9032,1009,1027,False,3,True,2025-09-09T01:54:00,2025-09-09T04:51:02.398383
65083,2,5019,9027,1018,1003,True,1,False,2025-10-16T03:17:00,2025-10-16T03:50:21.451277
65084,1,5036,9042,1007,1014,True,3,False,2025-09-03T23:19:00,2025-09-04T00:54:00.917550
65085,1,5112,9050,1018,1022,False,3,False,2025-09-30T03:39:00,2025-09-30T05:29:52.418651
65086,2,5044,9031,1009,1003,False,2,True,2025-09-09T23:31:00,2025-09-10T00:33:16.883396
65087,2,5037,9015,1007,1003,True,3,True,2025-10-06T03:53:00,2025-10-06T06:03:42.956765
65088,2,5032,9067,1018,1003,True,3,True,2025-10-20T04:44:00,2025-10-20T05:45:04.227065
65089,2,5074,9068,1007,1003,True,1,False,2025-09-12T04:33:00,2025-09-12T07:01:32.323990
65090,2,5027,9066,1018,1022,False,4,False,2025-09-28T01:14:00,2025-09-28T02:17:09.519422
65091,2,5006,9010,1018,1022,True,1,True,2025-09-13T13:23:00,2025-09-13T15:28:12.953965
65092,2,5069,9007,1007,1014,True,4,True,2025-08-28T20:22:00,2025-08-28T21:39:56.785264
65093,2,5097,9049,1009,1014,True,1,False,2025-10-09T09:58:00,2025-10-09T12:12:39.528279
65094,2,5058,9011,1007,1023,True,3,True,2025-10-14T01:37:00,2025-10-14T03:31:11.931626
65095,2,5101,9046,1018,1014,True,2,False,2025-10-20T04:37:00,2025-10-20T06:59:37.717675
65096,2,5077,9058,1018,1014,True,1,False,2025-09-18T09:40:00,2025-09-18T10:35:00.608747
