ro_id,store_id,customer_id,vehicle_id,advisor_id,opened_ts,closed_ts,line_count,hours_sold,labor_sales,parts_sales,sublet_sales,total_sales,labor_cost,parts_cost,gross,warranty_flag,comeback_flag,mpi_performed_flag,upsell_amount,carryover_flag,loaner_used_flag
110027,1,5039,9061,1025,2025-09-21T09:00:00,2025-09-21T21:27:10.359040,5,11.28,1405.03,1047.2,347.56,2799.79,583.92,660.36,1555.51,True,False,True,30.45,False,True
110028,2,5089,9064,1015,2025-08-28T07:00:00,2025-08-28T11:11:47.637089,3,9.88,513.75,320.52,298.57,1132.84,204.22,198.48,730.14,False,False,True,592.56,False,False
110029,1,5089,9047,1008,2025-10-18T09:00:00,2025-10-18T11:31:14.553256,8,11.51,1721.38,652.91,292.14,2666.43,854.68,355.48,1456.27,False,False,True,376.08,False,False
110030,2,5027,9015,1025,2025-10-08T12:00:00,2025-10-10T22:00:52.573578,5,6.6,84.71,750.06,494.59,1329.36,29.68,422.52,877.16,False,False,False,551.22,False,False
110031,2,5069,9000,1025,2025-10-09T07:00:00,2025-10-10T16:50:48.030124,2,5.96,1021.05,831.25,453.46,2305.76,217.85,498.57,1589.34,False,False,False,822.69,False,False
110032,2,5083,9008,1015,2025-09-13T16:00:00,2025-09-14T09:36:10.685241,1,6.6,1613.4,1285.64,490.04,3389.08,646.21,866.35,1876.52,False,True,False,404.32,False,False
110033,2,5070,9059,1025,2025-08-28T11:00:00,2025-08-30T02:28:04.924302,1,6.21,1696.66,73.7,521.13,2291.49,712.3,53.8,1525.39,False,False,True,497.12,False,False
110034,2,5079,9040,1008,2025-10-22T13:00:00,2025-10-24T06:15:10.188017,2,1.99,1017.51,340.37,411.05,1768.93,227.82,236.23,1304.88,False,False,True,591.71,False,False
110035,1,5011,9052,1008,2025-10-20T13:00:00,2025-10-21T05:17:11.518553,3,10.54,247.88,1401.03,185.7,1834.61,89.91,931.13,813.57,True,False,True,215.6,False,False
110036,2,5032,9074,1008,2025-09-10T09:00:00,2025-09-10T18:56:09.431400,6,9.57,288.88,1160.7,467.72,1917.3,98.1,622.87,1196.33,False,False,True,170.37,False,False
110037,1,5025,9065,1015,2025-10-21T16:00:00,2025-10-24T02:18:22.584507,6,0.84,228.65,141.98,87.49,458.12,56.73,105.71,295.68,False,False,True,389.16,False,False
110038,2,5053,9059,1025,2025-09-18T10:00:00,2025-09-18T23:43:35.799271,8,4.95,911.49,900.21,418.41,2230.11,449.22,651.21,1129.68,False,False,True,37.77,False,True
110039,1,5108,9078,1008,2025-09-15T07:00:00,2025-09-18T06:08:10.923496,2,7.34,1195.79,652.52,502.51,2350.82,586.98,495.0,1268.84,False,False,True,122.19,False,False
110040,1,5069,9044,1008,2025-10-09T12:00:00,2025-10-09T22:22:57.767347,1,11.3,1432.17,975.22,147.62,2555.01,517.19,612.14,1425.68,False,False,False,626.32,False,False
110041,1,5077,9036,1015,2025-09-10T12:00:00,2025-09-13T01:28:53.723764,6,2.62,1757.22,577.49,298.97,2633.68,740.82,359.23,1533.63,False,False,True,472.46,False,True
110042,1,5116,9014,1015,2025-08-31T08:00:00,2025-09-03T06:13:29.050651,5,10.18,627.5,229.4,345.85,1202.75,235.1,120.13,847.52,False,False,True,773.33,False,False
110043,2,5043,9052,1008,2025-09-29T15:00:00,2025-09-30T13:48:16.013084,6,3.59,591.78,1348.22,451.38,2391.38,125.59,1045.75,1220.04,False,False,True,854.09,False,True
110044,1,5085,9054,1015,2025-09-23T07:00:00,2025-09-24T17:50:44.225711,3,2.63,1012.18,433.21,354.51,1799.9,372.84,319.81,1107.25,False,False,True,93.49,False,False
110045,2,5080,9019,1025,2025-10-09T09:00:00,2025-10-09T22:51:21.135132,4,6.17,1565.78,789.04,593.79,2948.61,315.64,518.31,2114.66,False,False,True,551.93,False,False
110046,2,5108,9004,1015,2025-09-11T12:00:00,2025-09-11T23:32:05.048938,8,0.52,787.85,888.58,161.62,1838.05,303.26,681.43,853.36,False,False,True,672.11,False,False
110047,2,5038,9063,1008,2025-10-15T16:00:00,2025-10-16T02:23:54.263358,4,3.68,307.81,108.3,598.89,1015.0,130.35,77.91,806.74,False,False,True,189.18,True,False
110048,2,5051,9057,1025,2025-09-19T08:00:00,2025-09-20T09:53:41.960676,5,5.6,332.82,989.55,73.95,1396.32,103.38,784.89,508.05,False,False,True,186.1,False,False
110049,1,5116,9064,1025,2025-10-17T10:00:00,2025-10-18T22:17:38.159947,8,6.53,832.42,415.56,259.98,1507.96,206.09,305.19,996.68,False,False,True,258.49,False,True
110050,2,5062,9019,1015,2025-10-12T07:00:00,2025-10-13T18:07:34.959539,7,3.6,192.31,708.92,181.92,1083.15,51.4,397.19,634.56,False,False,True,120.14,False,False
110051,1,5071,9016,1015,2025-09-17T10:00:00,2025-09-20T09:03:16.265666,5,9.08,1184.05,259.8,160.61,1604.46,368.54,149.76,1086.16,False,True,True,796.33,False,False
110052,2,5116,9007,1025,2025-10-14T10:00:00,2025-10-16T17:02:29.704091,1,2.21,1036.25,939.71,479.4,2455.36,371.99,521.43,1561.94,False,True,True,692.72,False,False
110053,2,5052,9030,1025,2025-09-23T10:00:00,2025-09-24T01:06:57.710162,6,1.61,1319.91,666.03,417.62,2403.56,371.66,372.87,1659.03,False,False,True,220.4,True,False
110054,1,5047,9053,1015,2025-09-23T10:00:00,2025-09-25T01:16:26.468661,1,2.86,821.02,865.53,413.84,2100.39,189.62,665.4,1245.37,False,False,False,65.34,False,False
110055,2,5002,9011,1025,2025-09-21T09:00:00,2025-09-22T02:27:04.503806,8,10.77,717.91,103.09,7.02,828.02,270.11,55.26,502.65,True,False,False,550.6,True,False
110056,1,5038,9030,1015,2025-10-01T15:00:00,2025-10-03T21:14:57.269405,4,9.65,494.88,740.22,166.25,1401.35,123.78,538.29,739.28,False,False,True,453.33,False,False
110057,1,5114,9052,1025,2025-08-24T13:00:00,2025-08-26T15:44:47.528920,5,2.71,1375.72,856.62,98.58,2330.92,580.1,680.34,1070.48,False,False,True,40.68,False,False
110058,2,5064,9036,1025,2025-09-05T09:00:00,2025-09-06T07:38:59.991928,5,10.1,853.08,947.04,18.89,1819.01,356.35,679.23,783.43,True,False,True,750.26,False,False
110059,2,5035,9072,1008,2025-09-03T12:00:00,2025-09-03T16:27:32.635610,7,3.14,1529.8,659.52,50.9,2240.22,378.26,344.25,1517.71,True,False,True,468.24,False,False
110060,1,5078,9064,1015,2025-10-20T16:00:00,2025-10-23T08:55:41.714895,7,2.48,1773.18,1335.26,94.44,3202.88,885.11,881.08,1436.69,False,False,True,284.16,False,False
110061,1,5013,9003,1008,2025-10-14T07:00:00,2025-10-14T22:44:19.951626,4,8.98,1408.8,724.06,54.61,2187.47,527.48,535.07,1124.92,False,False,False,504.06,False,False
110062,1,5050,9039,1008,2025-10-08T09:00:00,2025-10-08T14:41:53.587982,2,4.4,1586.37,1208.47,144.29,2939.13,341.43,915.41,1682.29,True,False,True,298.87,True,True
110063,1,5080,9030,1015,2025-09-20T14:00:00,2025-09-23T03:31:01.743182,2,8.98,1460.94,369.74,381.75,2212.43,519.2,254.18,1439.05,True,False,True,248.68,False,True
110064,1,5066,9059,1008,2025-10-11T07:00:00,2025-10-13T15:36:11.984730,4,6.03,1268.32,1301.18,433.85,3003.35,285.49,714.97,2002.89,False,False,True,804.86,False,True
110065,2,5085,9073,1015,2025-10-03T16:00:00,2025-10-03T19:48:31.998484,3,1.48,687.74,599.62,69.09,1356.45,326.18,415.95,614.32,True,False,True,518.75,False,False
110066,2,5115,9006,1015,2025-10-21T08:00:00,2025-10-21T20:32:25.466610,1,1.01,577.04,951.4,25.48,1553.92,181.09,487.23,885.6,False,True,True,797.21,False,False
110067,1,5086,9028,1015,2025-08-29T12:00:00,2025-08-31T16:40:22.605142,6,8.11,337.93,597.7,73.77,1009.4,109.45,441.89,458.06,False,False,False,706.63,False,True
110068,1,5067,9006,1025,2025-10-08T07:00:00,2025-10-10T04:45:04.261035,3,1.95,437.62,644.77,513.62,1596.01,160.82,441.94,993.25,True,False,False,835.32,False,False
110069,2,5032,9024,1015,2025-09-26T08:00:00,2025-09-29T00:18:51.656248,4,6.43,1350.23,429.33,439.97,2219.53,659.78,297.58,1262.17,False,False,True,475.49,True,False
110070,2,5000,9014,1015,2025-09-02T08:00:00,2025-09-02T19:54:18.240673,5,2.32,1245.99,1102.68,313.03,2661.7,490.37,771.98,1399.35,False,False,True,645.29,False,False
110071,2,5066,9047,1008,2025-09-26T13:00:00,2025-09-27T05:58:16.328257,6,11.38,1418.67,169.14,524.07,2111.88,633.59,99.37,1378.92,False,False,True,786.12,False,False
110072,2,5015,9008,1015,2025-10-09T12:00:00,2025-10-10T13:47:42.540741,7,9.61,585.39,1440.87,546.86,2573.12,121.16,757.01,1694.95,False,False,True,863.97,False,False
110073,1,5029,9066,1015,2025-08-25T10:00:00,2025-08-27T15:09:16.578477,1,8.25,1036.48,776.41,107.07,1919.96,512.74,465.43,941.79,False,False,True,575.17,False,False
110074,2,5034,9024,1025,2025-09-06T10:00:00,2025-09-07T02:37:32.168187,4,9.78,690.71,1251.36,154.63,2096.7,203.43,891.8,1001.47,False,False,True,640.17,False,False
110075,2,5081,9068,1025,2025-10-19T08:00:00,2025-10-21T00:06:23.234812,6,11.99,421.62,910.31,378.52,1710.45,109.37,514.36,1086.72,False,True,True,31.28,True,True
110076,1,5015,9030,1008,2025-10-11T16:00:00,2025-10-13T23:17:41.103648,3,2.9,1734.13,1487.56,57.18,3278.87,846.64,1126.85,1305.38,False,True,False,527.48,False,False
110077,2,5032,9031,1025,2025-09-28T09:00:00,2025-09-30T21:37:54.382562,2,11.54,102.57,1048.18,200.31,1351.06,40.11,680.48,630.47,False,False,False,794.05,False,False
110078,2,5109,9061,1008,2025-10-02T12:00:00,2025-10-02T23:22:29.427939,5,3.1,615.31,152.82,73.9,842.03,220.15,111.8,510.08,True,False,True,754.26,False,False
110079,2,5057,9070,1015,2025-09-19T10:00:00,2025-09-19T23:56:31.373519,7,1.38,1699.55,929.52,303.51,2932.58,377.39,590.61,1964.58,False,False,True,671.41,False,True
110080,2,5097,9013,1015,2025-09-27T13:00:00,2025-09-30T08:50:48.266502,1,6.47,710.96,80.82,475.22,1267.0,192.88,63.09,1011.03,True,False,True,383.86,False,False
110081,1,5109,9009,1025,2025-09-05T07:00:00,2025-09-06T21:25:04.653917,8,1.34,751.81,1332.58,53.03,2137.42,346.86,677.19,1113.37,True,False,True,857.51,False,False
110082,1,5035,9023,1025,2025-09-14T12:00:00,2025-09-14T17:38:37.122099,4,11.82,1026.5,682.55,65.26,1774.31,398.19,440.64,935.48,False,False,True,866.82,True,False
110083,1,5062,9000,1015,2025-09-28T07:00:00,2025-09-30T16:34:00.465213,1,2.94,1422.02,546.78,142.46,2111.26,652.49,423.11,1035.66,False,False,True,111.72,True,False
110084,1,5082,9079,1008,2025-10-07T07:00:00,2025-10-09T03:23:51.878817,8,11.91,713.38,868.47,424.53,2006.38,314.59,508.69,1183.1,True,False,True,680.6,False,False
110085,2,5095,9006,1008,2025-10-03T13:00:00,2025-10-05T20:39:50.380375,5,2.17,726.49,1181.75,177.85,2086.09,265.76,805.24,1015.09,False,False,True,573.1,False,True
110086,1,5000,9051,1008,2025-09-29T08:00:00,2025-09-30T06:36:30.690498,3,10.15,1606.22,875.75,475.38,2957.35,734.12,688.33,1534.9,False,False,True,702.48,False,False
110087,2,5094,9066,1015,2025-09-29T15:00:00,2025-10-02T12:14:38.264119,1,7.88,1150.21,83.29,334.75,1568.25,283.53,57.64,1227.08,True,False,True,505.49,False,False
110088,1,5118,9004,1015,2025-10-01T10:00:00,2025-10-02T10:48:16.077926,1,10.82,1641.52,992.77,539.11,3173.4,584.48,692.14,1896.78,False,False,False,106.02,True,False
110089,2,5000,9066,1025,2025-10-02T13:00:00,2025-10-03T14:53:37.611947,5,1.58,1540.23,263.5,354.31,2158.04,473.8,185.23,1499.01,False,False,True,310.25,False,False
110090,2,5000,9051,1025,2025-09-06T07:00:00,2025-09-08T00:19:32.103392,6,11.78,248.99,1254.39,529.37,2032.75,107.05,930.97,994.73,False,False,True,172.84,False,False
110091,2,5101,9074,1008,2025-09-08T16:00:00,2025-09-11T01:44:23.458070,1,0.57,955.53,957.76,24.34,1937.63,199.55,754.49,983.59,False,False,True,351.61,False,True
110092,1,5009,9040,1008,2025-08-27T08:00:00,2025-08-29T20:21:34.989411,2,4.81,946.71,158.83,400.99,1506.53,420.62,95.37,990.54,False,False,True,72.09,False,True
110093,2,5044,9003,1025,2025-10-10T12:00:00,2025-10-10T17:48:09.530836,3,1.08,384.77,962.83,117.54,1465.14,144.19,609.47,711.48,False,False,True,243.11,False,False
110094,1,5034,9043,1025,2025-10-01T11:00:00,2025-10-02T16:21:05.967662,3,4.46,1701.84,1333.88,435.61,3471.33,729.9,831.67,1909.76,True,False,True,785.2,False,False
110095,2,5088,9055,1008,2025-10-22T13:00:00,2025-10-25T07:36:58.694097,4,2.78,1052.52,1402.1,40.08,2494.7,456.08,710.61,1328.01,False,False,True,119.4,False,False
110096,1,5111,9062,1025,2025-10-22T09:00:00,2025-10-23T01:10:59.880069,2,1.4,770.26,727.43,556.3,2053.99,261.33,408.43,1384.23,False,False,True,196.98,False,False
110097,2,5009,9001,1015,2025-10-05T12:00:00,2025-10-05T23:15:53.781207,5,7.31,1066.31,550.2,72.76,1689.27,283.08,287.37,1118.82,False,False,True,520.93,True,False
110098,1,5088,9076,1015,2025-09-11T15:00:00,2025-09-11T20:00:36.316684,8,6.64,821.59,462.9,31.74,1316.23,275.66,326.17,714.4,False,False,False,666.82,False,False
110099,1,5049,9003,1025,2025-10-21T09:00:00,2025-10-21T16:15:44.998052,4,3.5,1179.19,1323.36,536.56,3039.11,444.2,990.13,1604.78,False,False,True,515.27,False,False
110100,1,5083,9068,1025,2025-10-13T16:00:00,2025-10-15T00:39:18.612738,6,5.2,1570.52,385.86,493.53,2449.91,428.61,206.24,1815.06,False,False,True,404.68,False,False
110101,2,5021,9068,1008,2025-10-07T16:00:00,2025-10-09T08:07:18.787034,7,6.46,772.78,1394.3,71.4,2238.48,265.45,722.7,1250.33,False,False,False,13.92,False,False
110102,2,5075,9063,1008,2025-09-02T08:00:00,2025-09-04T08:07:25.456468,6,6.7,465.12,556.49,404.33,1425.94,105.05,343.91,976.98,True,False,True,238.42,False,False
110103,2,5096,9059,1008,2025-09-26T09:00:00,2025-09-26T16:05:33.826627,7,7.67,643.12,627.0,274.04,1544.16,243.26,320.92,979.98,False,False,True,781.27,False,True
110104,2,5074,9018,1025,2025-10-21T07:00:00,2025-10-23T20:33:39.859792,5,7.96,1716.41,1053.1,137.88,2907.39,776.73,663.4,1467.26,False,False,True,761.52,False,False
110105,2,5055,9007,1008,2025-08-28T08:00:00,2025-08-29T05:50:58.615269,6,11.12,1018.59,713.93,486.16,2218.68,482.68,505.88,1230.12,False,False,True,402.82,False,False
110106,2,5085,9000,1015,2025-10-05T09:00:00,2025-10-05T12:50:06.908853,8,4.92,552.83,1181.36,578.11,2312.3,121.09,813.18,1378.03,False,False,True,823.79,False,False
110107,1,5063,9034,1015,2025-09-02T09:00:00,2025-09-03T09:24:29.302032,3,8.35,929.52,1137.16,474.32,2541.0,334.29,801.09,1405.62,False,False,True,625.95,False,False
110108,1,5099,9053,1015,2025-10-18T12:00:00,2025-10-20T18:53:22.921368,3,9.45,1331.62,531.22,273.98,2136.82,281.63,372.87,1482.32,False,False,True,226.09,False,False
110109,2,5041,9079,1015,2025-09-30T13:00:00,2025-10-01T04:43:39.026251,4,10.46,1482.19,476.54,382.98,2341.71,578.33,257.3,1506.08,False,False,False,831.39,False,False
110110,2,5085,9025,1015,2025-09-03T11:00:00,2025-09-03T18:34:20.950879,3,11.64,643.95,822.91,202.73,1669.59,319.92,530.77,818.9,False,False,False,199.49,False,False
110111,2,5043,9051,1025,2025-10-01T12:00:00,2025-10-01T21:09:19.622249,5,11.5,1696.08,204.01,426.37,2326.46,527.09,103.58,1695.79,False,False,True,14.07,False,False
110112,1,5030,9000,1008,2025-10-06T11:00:00,2025-10-08T22:44:25.221575,8,7.39,413.95,960.79,71.99,1446.73,166.67,628.06,652.0,True,False,True,749.72,False,False
110113,1,5063,9054,1008,2025-10-13T07:00:00,2025-10-13T15:01:14.563284,4,8.88,758.59,177.9,176.19,1112.68,176.19,133.12,803.37,False,False,False,735.78,False,False
110114,1,5106,9062,1015,2025-09-26T08:00:00,2025-09-27T02:40:13.506869,2,0.9,1544.68,116.4,575.88,2236.96,432.09,87.76,1717.11,False,False,True,554.15,False,True
110115,2,5012,9054,1015,2025-09-30T15:00:00,2025-10-02T02:06:07.703908,3,10.74,1339.9,240.87,286.81,1867.58,377.19,129.81,1360.58,True,False,True,821.6,False,False
110116,2,5025,9077,1025,2025-09-13T16:00:00,2025-09-15T05:27:02.737771,6,11.81,853.62,691.19,179.19,1724.0,213.64,447.76,1062.6,False,False,True,568.96,False,False
110117,1,5052,9072,1025,2025-09-16T12:00:00,2025-09-18T21:07:57.162299,7,11.83,575.42,777.95,182.73,1536.1,221.14,416.67,898.29,False,True,False,5.63,True,True
110118,1,5060,9042,1015,2025-09-12T12:00:00,2025-09-14T10:44:29.589599,6,1.3,1590.86,155.48,141.85,1888.19,624.88,116.26,1147.05,False,True,True,30.41,False,False
110119,2,5032,9066,1008,2025-09-28T09:00:00,2025-09-30T10:44:22.724403,8,11.58,569.1,803.72,370.15,1742.97,179.69,551.34,1011.94,False,False,False,380.77,False,False
