table_name,column_name,data_type,primary_key,foreign_key,description
fact_bdc_interactions,lead_id,int64,False,fact_leads.lead_id,
fact_bdc_interactions,channel,object,False,,
fact_bdc_interactions,direction,object,False,,
fact_bdc_interactions,timestamp,object,False,,
fact_bdc_interactions,outcome,object,False,,
fact_bdc_interactions,response_time_seconds,int64,False,,
fact_bdc_interactions,script_version,object,False,,
fact_appointments,appointment_id,int64,True,,
fact_appointments,lead_id,int64,False,fact_leads.lead_id,
fact_appointments,appointment_datetime,object,False,,
fact_appointments,show_flag,bool,False,,
fact_appointments,showroom_visit_id,float64,False,fact_showroom_visits.visit_id,
fact_showroom_visits,visit_id,int64,True,,
fact_showroom_visits,store_id,int64,False,dim_store.store_id,
fact_showroom_visits,customer_id,int64,False,dim_customer.customer_id,
fact_showroom_visits,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_showroom_visits,salesperson_id,int64,False,dim_employee.employee_id,
fact_showroom_visits,manager_id,int64,False,dim_employee.employee_id,
fact_showroom_visits,test_drive_flag,bool,False,,
fact_showroom_visits,pencil_count,int64,False,,
fact_showroom_visits,wrote_deal_flag,bool,False,,
fact_showroom_visits,time_in,object,False,,
fact_showroom_visits,time_out,object,False,,
fact_deals,deal_id,int64,True,,
fact_deals,store_id,int64,False,dim_store.store_id,
fact_deals,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_deals,customer_id,int64,False,dim_customer.customer_id,
fact_deals,stock_no,object,False,,
fact_deals,new_used,object,False,,
fact_deals,sale_type,object,False,,
fact_deals,selling_price,float64,False,,
fact_deals,msrp,float64,False,,
fact_deals,invoice,float64,False,,
fact_deals,front_gross,float64,False,,Selling price minus cost-adjusted items; illustrative only
fact_deals,back_gross,float64,False,,F&I income including products & reserve; illustrative only
fact_deals,total_gross,float64,False,,
fact_deals,doc_fee,float64,False,,
fact_deals,ttl_fee,float64,False,,
fact_deals,trade_id,float64,False,,
fact_deals,trade_allowance,float64,False,,
fact_deals,payoff,float64,False,,
fact_deals,cash_down,float64,False,,
fact_deals,net_cap_cost,float64,False,,
fact_deals,lender_id,int64,False,dim_lender.lender_id,
fact_deals,apr,float64,False,,
fact_deals,term_months,int64,False,,
fact_deals,reserve_income,float64,False,,
fact_deals,product_income,float64,False,,
fact_deals,deal_date,object,False,,
fact_deals,delivered_flag,bool,False,,
fact_deals,we_owe_flag,bool,False,,
fact_deals,ofac_pass_flag,bool,False,,
fact_deals,red_flags_cleared_flag,bool,False,,
fact_deals,csi_eligibility_flag,bool,False,,
fact_deals,fi_manager_id,int64,False,dim_employee.employee_id,
fact_deals,sales_manager_id,int64,False,dim_employee.employee_id,
fact_finance_contracts,finance_contract_id,int64,True,,
fact_finance_contracts,deal_id,int64,False,fact_deals.deal_id,
fact_finance_contracts,lender_id,int64,False,dim_lender.lender_id,
fact_finance_contracts,apr,float64,False,,
fact_finance_contracts,term_months,int64,False,,
fact_finance_contracts,amount_financed,float64,False,,
fact_finance_contracts,reserve_amount,float64,False,,
fact_finance_contracts,buy_rate,float64,False,,
fact_finance_contracts,sell_rate,float64,False,,
fact_finance_contracts,approval_ts,object,False,,
fact_finance_contracts,stip_count,int64,False,,
fact_finance_contracts,funding_status,object,False,,
fact_finance_contracts,funding_date,object,False,,
fact_finance_contracts,CIT_age_days,int64,False,,
fact_finance_contracts,chargeback_risk_score,float64,False,,
fact_fi_products,fi_contract_id,int64,True,,
fact_fi_products,deal_id,int64,False,fact_deals.deal_id,
fact_fi_products,product_id,int64,False,dim_product.product_id,
fact_fi_products,price,float64,False,,
fact_fi_products,cost,float64,False,,
fact_fi_products,margin,float64,False,,
fact_trades_appraisals,trade_id,int64,True,,
fact_trades_appraisals,deal_id,int64,False,fact_deals.deal_id,
fact_trades_appraisals,vin_trade,object,False,,
fact_trades_appraisals,year,int64,False,,
fact_trades_appraisals,make,object,False,,
fact_trades_appraisals,model,object,False,,
fact_trades_appraisals,miles,int64,False,,
fact_trades_appraisals,ACV,float64,False,,
fact_trades_appraisals,offered_allowance,float64,False,,
fact_trades_appraisals,recon_estimate,float64,False,,
fact_trades_appraisals,market_days_supply,int64,False,,
fact_trades_appraisals,retail_or_wholesale,object,False,,
fact_inventory_daily,inventory_snapshot_id,int64,True,,
fact_inventory_daily,store_id,int64,False,dim_store.store_id,
fact_inventory_daily,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_inventory_daily,date_key,int64,False,dim_date.date_key,
fact_inventory_daily,days_in_stock,int64,False,,
fact_inventory_daily,lot_location,object,False,,
fact_inventory_daily,price_to_market_pct,float64,False,,
fact_inventory_daily,asking_price,float64,False,,
fact_inventory_daily,vehicle_cost,float64,False,,
fact_inventory_daily,floorplan_status,bool,False,,
fact_inventory_daily,flooring_date,object,False,,
fact_inventory_daily,floorplan_interest_to_date,float64,False,,
fact_inventory_daily,vdp_views_7d,int64,False,,
fact_inventory_daily,srp_views_7d,int64,False,,
fact_inventory_daily,photos_count,int64,False,,
fact_inventory_daily,listing_status,object,False,,
fact_service_ros,ro_id,int64,True,,
fact_service_ros,store_id,int64,False,dim_store.store_id,
fact_service_ros,customer_id,int64,False,dim_customer.customer_id,
fact_service_ros,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_service_ros,advisor_id,int64,False,dim_employee.employee_id,
fact_service_ros,opened_ts,object,False,,
fact_service_ros,closed_ts,object,False,,
fact_service_ros,line_count,int64,False,,
fact_service_ros,hours_sold,float64,False,,
fact_service_ros,labor_sales,float64,False,,
fact_service_ros,parts_sales,float64,False,,
fact_service_ros,sublet_sales,float64,False,,
fact_service_ros,total_sales,float64,False,,
fact_service_ros,labor_cost,float64,False,,
fact_service_ros,parts_cost,float64,False,,
fact_service_ros,gross,float64,False,,
fact_service_ros,warranty_flag,bool,False,,
fact_service_ros,comeback_flag,bool,False,,
fact_service_ros,mpi_performed_flag,bool,False,,
fact_service_ros,upsell_amount,float64,False,,
fact_service_ros,carryover_flag,bool,False,,
fact_service_ros,loaner_used_flag,bool,False,,
fact_parts_tickets,parts_invoice_id,int64,True,,
fact_parts_tickets,store_id,int64,False,dim_store.store_id,
fact_parts_tickets,ro_id,int64,False,fact_service_ros.ro_id,
fact_parts_tickets,ticket_type,object,False,,
fact_parts_tickets,part_no,object,False,,
fact_parts_tickets,qty,int64,False,,
fact_parts_tickets,unit_cost,float64,False,,
fact_parts_tickets,unit_price,float64,False,,
fact_parts_tickets,extended_cost,float64,False,,
fact_parts_tickets,extended_price,float64,False,,
fact_parts_tickets,bin_location,object,False,,
fact_parts_tickets,backorder_flag,bool,False,,
fact_technician_time,time_entry_id,int64,True,,
fact_technician_time,ro_id,int64,False,fact_service_ros.ro_id,
fact_technician_time,tech_id,int64,False,dim_employee.employee_id,
fact_technician_time,job_code,object,False,,
fact_technician_time,flagged_hours,float64,False,,
fact_technician_time,actual_hours,float64,False,,
fact_technician_time,effective_rate,float64,False,,
fact_reviews_csi,survey_id,int64,True,,
fact_reviews_csi,store_id,int64,False,dim_store.store_id,
fact_reviews_csi,customer_id,int64,False,dim_customer.customer_id,
fact_reviews_csi,department,object,False,,
fact_reviews_csi,rating_1to5,int64,False,,
fact_reviews_csi,nps,int64,False,,
fact_reviews_csi,comments,object,False,,
fact_reviews_csi,date,object,False,,
fact_marketing_spend,spend_id,int64,True,,
fact_marketing_spend,store_id,int64,False,dim_store.store_id,
fact_marketing_spend,vendor_id,int64,False,dim_vendor.vendor_id,
fact_marketing_spend,campaign_name,object,False,,
fact_marketing_spend,date,object,False,,
fact_marketing_spend,impressions,int64,False,,
fact_marketing_spend,clicks,int64,False,,
fact_marketing_spend,cost,float64,False,,
fact_marketing_spend,leads,int64,False,,
fact_marketing_spend,shows,int64,False,,
fact_marketing_spend,sales,int64,False,,
fact_recon,recon_id,int64,True,,
fact_recon,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_recon,ro_id,object,False,fact_service_ros.ro_id,
fact_recon,date,object,False,,
fact_recon,vendor,object,False,,
fact_recon,cost,float64,False,,
fact_recon,status,object,False,,
fact_recon,days_in_recon,int64,False,,
fact_we_owe,owe_id,int64,True,,
fact_we_owe,deal_id,int64,False,fact_deals.deal_id,
fact_we_owe,description,object,False,,
fact_we_owe,promised_date,object,False,,
fact_we_owe,fulfilled_date,object,False,,
fact_we_owe,cost,float64,False,,
fact_we_owe,status,object,False,,
fact_oem_progress,progress_id,int64,True,,
fact_oem_progress,program_id,int64,False,dim_oem_program.program_id,
fact_oem_progress,store_id,int64,False,dim_store.store_id,
fact_oem_progress,date,object,False,,
fact_oem_progress,units_to_date,int64,False,,
fact_oem_progress,target_units,int64,False,,
fact_oem_progress,bonus_earned_flag,bool,False,,
fact_oem_progress,est_bonus_amount,float64,False,,
fact_floorplan,floorplan_id,int64,True,,
fact_floorplan,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_floorplan,floorplan_lender_id,int64,False,,
fact_floorplan,floored_date,object,False,,
fact_floorplan,payoff_date,object,False,,
fact_floorplan,curtailment_due_date,object,False,,
fact_floorplan,interest_accrued_to_date,float64,False,,
