interaction_id,lead_id,channel,direction,timestamp,outcome,response_time_seconds,script_version
800034,70008,Call,Inbound,2025-10-14T14:18:00,Left VM,1032,v3
800035,70009,Call,Inbound,2025-09-26T22:19:00,Replied,4724,v2
800036,70009,Email,Inbound,2025-09-27T18:07:00,Replied,3923,v3
800037,70009,Call,Outbound,2025-09-28T15:17:00,Opted-Out,5243,v2
800038,70010,Email,Outbound,2025-08-27T10:27:00,No Answer,761,v3
800039,70010,SMS,Inbound,2025-08-28T09:37:00,Replied,1937,v2
800040,70010,SMS,Outbound,2025-08-28T21:41:00,Replied,6058,v2
800041,70010,Call,Outbound,2025-08-29T20:13:00,Left VM,4715,v3
800042,70011,SMS,Outbound,2025-09-27T14:23:00,Opted-Out,727,v1
800043,70011,SMS,Outbound,2025-09-28T12:00:00,Opted-Out,4304,v1
800044,70011,SMS,Outbound,2025-09-29T04:44:00,Left VM,5422,v3
800045,70012,Email,Outbound,2025-08-27T15:43:00,Connected,6826,v3
800046,70012,Email,Outbound,2025-08-28T11:59:00,Opted-Out,5001,v2
800047,70013,Call,Inbound,2025-09-07T13:42:00,Left VM,2814,v2
800048,70013,Email,Outbound,2025-09-07T20:21:00,Opted-Out,2629,v2
800049,70013,Call,Outbound,2025-09-08T05:37:00,Left VM,4468,v1
800050,70013,Call,Outbound,2025-09-08T15:51:00,No Answer,6323,v1
800051,70014,Email,Outbound,2025-09-29T04:24:00,Left VM,5063,v2
800052,70014,Call,Outbound,2025-09-29T11:05:00,No Answer,3224,v1
800053,70015,Email,Inbound,2025-09-28T20:53:00,No Answer,3106,v1
800054,70015,Call,Outbound,2025-09-28T23:09:00,Opted-Out,4830,v1
800055,70015,SMS,Inbound,2025-09-29T16:28:00,Left VM,2236,v1
800056,70016,SMS,Inbound,2025-09-21T06:59:00,Left VM,3996,v1
800057,70016,SMS,Outbound,2025-09-21T21:23:00,Left VM,2234,v3
800058,70016,SMS,Outbound,2025-09-22T17:53:00,Connected,6280,v3
800059,70017,SMS,Inbound,2025-09-12T04:54:00,Replied,717,v3
800060,70017,Call,Outbound,2025-09-12T22:28:00,No Answer,4457,v1
800061,70018,Email,Inbound,2025-09-30T12:59:00,Left VM,38,v2
800062,70018,Email,Outbound,2025-10-01T10:40:00,Left VM,522,v2
800063,70019,Email,Inbound,2025-08-30T15:19:00,No Answer,6931,v3
800064,70019,SMS,Inbound,2025-08-30T23:04:00,Left VM,1352,v3
800065,70019,SMS,Outbound,2025-08-31T17:47:00,No Answer,764,v2
800066,70020,SMS,Inbound,2025-09-12T15:02:00,Replied,1757,v3
800067,70021,SMS,Inbound,2025-10-18T06:20:00,No Answer,6196,v3
800068,70021,Email,Outbound,2025-10-18T22:17:00,No Answer,2828,v1
800069,70021,SMS,Inbound,2025-10-19T14:28:00,Left VM,5697,v1
800070,70021,Call,Inbound,2025-10-20T13:01:00,Left VM,108,v3
800071,70021,Email,Inbound,2025-10-20T19:26:00,Replied,4438,v1
800072,70022,Call,Inbound,2025-09-14T12:37:00,Left VM,2921,v2
800073,70023,Email,Outbound,2025-09-12T03:52:00,Left VM,1052,v2
800074,70023,Call,Inbound,2025-09-12T17:00:00,Left VM,1844,v3
800075,70023,Email,Inbound,2025-09-12T18:10:00,Connected,767,v3
800076,70023,Email,Outbound,2025-09-13T16:00:00,Connected,4075,v2
800077,70023,Email,Inbound,2025-09-13T17:45:00,Opted-Out,1742,v1
800078,70024,Email,Outbound,2025-10-13T10:05:00,No Answer,4692,v3
800079,70024,Call,Outbound,2025-10-14T03:26:00,Opted-Out,5536,v3
800080,70025,Call,Outbound,2025-09-09T07:51:00,Opted-Out,1080,v3
800081,70025,Call,Inbound,2025-09-09T10:34:00,Opted-Out,7038,v1
800082,70025,SMS,Inbound,2025-09-10T04:55:00,Connected,6974,v3
800083,70025,SMS,Inbound,2025-09-10T06:12:00,Opted-Out,3748,v1
800084,70025,SMS,Outbound,2025-09-10T21:16:00,No Answer,3573,v2
800085,70026,SMS,Inbound,2025-09-15T23:20:00,Replied,2991,v3
800086,70026,SMS,Outbound,2025-09-16T01:19:00,Left VM,2306,v2
800087,70026,Email,Inbound,2025-09-16T19:59:00,Left VM,3240,v1
800088,70027,SMS,Outbound,2025-09-05T22:40:00,Connected,5678,v2
800089,70027,Call,Outbound,2025-09-06T01:42:00,Connected,2727,v2
800090,70027,SMS,Outbound,2025-09-06T04:20:00,Left VM,3961,v2
800091,70028,SMS,Inbound,2025-09-15T07:02:00,No Answer,2054,v1
800092,70029,Email,Outbound,2025-10-09T20:22:00,No Answer,4287,v1
800093,70029,SMS,Inbound,2025-10-09T23:21:00,Left VM,5152,v2
800094,70029,Call,Outbound,2025-10-10T19:36:00,Left VM,303,v2
800095,70029,SMS,Outbound,2025-10-11T06:47:00,Connected,537,v2
800096,70030,SMS,Inbound,2025-09-10T20:16:00,Left VM,864,v3
800097,70031,Call,Inbound,2025-09-08T11:07:00,Replied,3320,v1
800098,70032,Call,Outbound,2025-09-23T08:30:00,Replied,3175,v2
800099,70032,SMS,Outbound,2025-09-23T23:36:00,No Answer,5362,v3
800100,70032,Email,Inbound,2025-09-24T00:59:00,Opted-Out,1606,v1
800101,70032,Call,Outbound,2025-09-24T04:59:00,Opted-Out,6496,v1
800102,70032,Call,Inbound,2025-09-25T01:02:00,No Answer,3478,v2
800103,70033,Call,Outbound,2025-09-16T06:20:00,Connected,6559,v1
800104,70033,Call,Inbound,2025-09-16T08:53:00,Opted-Out,3600,v3
800105,70033,Email,Inbound,2025-09-17T07:37:00,Opted-Out,4463,v1
800106,70033,Email,Inbound,2025-09-17T13:08:00,Opted-Out,2839,v2
800107,70033,Call,Outbound,2025-09-18T02:13:00,Left VM,1974,v3
800108,70034,Email,Inbound,2025-09-02T17:18:00,Connected,1671,v3
800109,70034,Call,Inbound,2025-09-03T00:40:00,Connected,5501,v2
800110,70034,SMS,Inbound,2025-09-03T17:07:00,Opted-Out,4667,v2
800111,70034,Email,Inbound,2025-09-04T14:38:00,No Answer,1359,v1
800112,70034,Call,Inbound,2025-09-05T06:38:00,Connected,60,v3
800113,70035,Email,Outbound,2025-09-02T23:40:00,Connected,3968,v3
800114,70035,SMS,Inbound,2025-09-03T11:28:00,Connected,3309,v1
800115,70036,Call,Outbound,2025-10-08T06:51:00,No Answer,275,v3
800116,70037,Email,Inbound,2025-10-16T17:07:00,Connected,5201,v3
800117,70038,Call,Outbound,2025-09-01T13:00:00,Connected,2357,v1
800118,70038,Email,Outbound,2025-09-01T20:58:00,No Answer,6973,v3
800119,70038,Call,Outbound,2025-09-02T05:51:00,Left VM,1472,v2
800120,70039,SMS,Outbound,2025-10-12T17:20:00,Replied,5394,v1
800121,70040,Email,Inbound,2025-09-07T17:06:00,Connected,3058,v2
800122,70040,Call,Inbound,2025-09-08T16:09:00,Left VM,1000,v1
800123,70040,Call,Outbound,2025-09-08T21:06:00,Opted-Out,3128,v3
800124,70041,SMS,Inbound,2025-09-25T02:16:00,Connected,408,v3
800125,70041,Call,Inbound,2025-09-25T22:48:00,Connected,2714,v1
800126,70041,SMS,Inbound,2025-09-26T01:07:00,Connected,7005,v3
800127,70042,Call,Outbound,2025-10-02T10:44:00,Replied,6509,v3
800128,70042,Call,Outbound,2025-10-03T08:13:00,Opted-Out,3209,v3
800129,70042,Email,Inbound,2025-10-04T02:05:00,Opted-Out,3833,v1
800130,70042,SMS,Inbound,2025-10-04T13:34:00,Opted-Out,5719,v2
800131,70042,Email,Inbound,2025-10-05T06:57:00,Opted-Out,3314,v3
800132,70043,Call,Outbound,2025-10-11T08:15:00,Connected,1692,v2
800133,70043,Email,Outbound,2025-10-11T16:45:00,No Answer,3511,v2
800134,70043,Call,Inbound,2025-10-12T12:45:00,No Answer,4540,v1
800135,70043,Call,Inbound,2025-10-12T17:50:00,Replied,4280,v2
800136,70043,SMS,Outbound,2025-10-13T02:11:00,Replied,4226,v3
800137,70044,Email,Inbound,2025-09-04T06:20:00,Replied,3380,v2
800138,70044,Email,Inbound,2025-09-04T23:48:00,Replied,232,v1
800139,70044,Call,Inbound,2025-09-05T15:22:00,Left VM,2971,v1
800140,70045,SMS,Outbound,2025-10-21T10:45:00,No Answer,1895,v1
800141,70045,Call,Inbound,2025-10-21T15:17:00,Left VM,4503,v1
800142,70045,Call,Inbound,2025-10-22T03:10:00,No Answer,2509,v3
800143,70046,SMS,Outbound,2025-09-14T02:58:00,Opted-Out,2169,v1
800144,70046,Email,Inbound,2025-09-14T13:41:00,Replied,3353,v3
800145,70046,Call,Inbound,2025-09-15T12:33:00,Opted-Out,6265,v1
800146,70047,Call,Outbound,2025-10-09T00:02:00,Replied,1944,v3
800147,70047,SMS,Inbound,2025-10-09T20:34:00,Replied,2820,v1
800148,70047,Call,Inbound,2025-10-10T07:45:00,Replied,1746,v2
800149,70047,SMS,Outbound,2025-10-10T23:36:00,No Answer,1168,v3
800150,70048,SMS,Outbound,2025-10-19T06:50:00,Replied,6668,v3
800151,70048,Email,Outbound,2025-10-19T19:26:00,Replied,3517,v3
800152,70049,Email,Inbound,2025-09-01T06:03:00,Opted-Out,220,v3
800153,70049,Call,Outbound,2025-09-01T07:38:00,No Answer,4684,v3
800154,70049,SMS,Inbound,2025-09-02T04:42:00,Replied,1702,v2
800155,70049,SMS,Inbound,2025-09-02T07:22:00,Connected,3919,v1
800156,70050,Email,Inbound,2025-09-07T14:38:00,Left VM,1434,v1
800157,70050,SMS,Outbound,2025-09-08T14:10:00,Left VM,6800,v3
800158,70050,Email,Outbound,2025-09-09T11:15:00,Connected,1660,v1
800159,70051,Call,Outbound,2025-09-04T21:14:00,No Answer,5433,v3
800160,70051,Email,Outbound,2025-09-05T00:07:00,No Answer,4277,v1
800161,70051,Email,Inbound,2025-09-05T06:28:00,Replied,1316,v1
800162,70051,SMS,Inbound,2025-09-05T11:22:00,Replied,6117,v1
800163,70052,Call,Outbound,2025-08-30T22:43:00,No Answer,3570,v3
800164,70052,Email,Outbound,2025-08-31T21:54:00,Opted-Out,4741,v2
800165,70052,Call,Inbound,2025-09-01T18:27:00,No Answer,1682,v1
800166,70052,Email,Outbound,2025-09-01T23:49:00,Replied,4984,v1
800167,70053,SMS,Inbound,2025-09-17T03:35:00,Replied,3820,v3
800168,70053,SMS,Outbound,2025-09-17T05:25:00,No Answer,5324,v2
800169,70053,SMS,Inbound,2025-09-17T17:45:00,Replied,5051,v1
800170,70053,Call,Outbound,2025-09-18T08:25:00,Opted-Out,6036,v2
800171,70053,Email,Outbound,2025-09-19T00:32:00,Opted-Out,812,v2
800172,70054,Call,Inbound,2025-09-20T01:53:00,Opted-Out,2421,v3
800173,70055,Email,Inbound,2025-09-10T01:30:00,Opted-Out,1023,v2
800174,70056,SMS,Inbound,2025-10-19T22:19:00,Replied,3724,v1
800175,70057,SMS,Outbound,2025-08-26T21:56:00,Replied,248,v1
800176,70057,SMS,Inbound,2025-08-27T20:14:00,Replied,2845,v3
800177,70057,Call,Inbound,2025-08-28T10:21:00,Left VM,117,v2
800178,70058,Email,Inbound,2025-09-28T19:58:00,Replied,3809,v1
800179,70059,SMS,Outbound,2025-10-17T10:12:00,Replied,1178,v2
800180,70060,Call,Outbound,2025-10-13T21:59:00,Opted-Out,853,v1
800181,70060,Call,Inbound,2025-10-14T08:31:00,Connected,665,v3
800182,70060,SMS,Inbound,2025-10-14T09:23:00,Connected,3639,v2
800183,70061,SMS,Outbound,2025-10-14T21:57:00,Opted-Out,1800,v2
800184,70061,SMS,Outbound,2025-10-15T00:04:00,Replied,5685,v2
800185,70062,SMS,Outbound,2025-09-17T13:55:00,Left VM,6357,v2
800186,70062,Call,Inbound,2025-09-17T21:18:00,Connected,1668,v1
800187,70062,Email,Outbound,2025-09-17T22:20:00,Left VM,2791,v1
800188,70062,SMS,Outbound,2025-09-18T22:02:00,Connected,821,v3
800189,70063,Call,Inbound,2025-09-16T23:05:00,Opted-Out,912,v2
800190,70063,SMS,Outbound,2025-09-17T10:35:00,Opted-Out,1726,v3
800191,70064,Call,Outbound,2025-09-26T00:57:00,Connected,897,v2
800192,70064,Call,Outbound,2025-09-26T12:29:00,Replied,5387,v2
800193,70064,Email,Outbound,2025-09-26T13:23:00,Replied,1833,v1
800194,70064,Email,Inbound,2025-09-27T12:20:00,Left VM,581,v1
800195,70065,SMS,Inbound,2025-10-06T22:00:00,Left VM,5867,v3
800196,70065,Call,Inbound,2025-10-07T17:55:00,Left VM,4944,v2
800197,70065,SMS,Inbound,2025-10-08T15:57:00,Connected,2750,v1
800198,70065,SMS,Inbound,2025-10-09T14:08:00,Replied,583,v2
800199,70066,SMS,Inbound,2025-10-20T06:22:00,Replied,4216,v3
800200,70067,SMS,Outbound,2025-09-12T07:15:00,Connected,203,v3
800201,70067,Email,Outbound,2025-09-12T11:59:00,Replied,6233,v1
800202,70068,Call,Outbound,2025-09-25T13:25:00,No Answer,4115,v2
800203,70068,Call,Inbound,2025-09-25T20:48:00,Connected,5289,v1
800204,70068,SMS,Inbound,2025-09-26T05:25:00,No Answer,1129,v2
800205,70068,SMS,Outbound,2025-09-26T16:45:00,Opted-Out,6516,v2
800206,70068,Email,Outbound,2025-09-27T15:22:00,Connected,6968,v3
800207,70069,Call,Outbound,2025-10-03T02:45:00,Opted-Out,472,v3
800208,70069,SMS,Outbound,2025-10-03T11:43:00,Opted-Out,7179,v2
800209,70069,Email,Outbound,2025-10-04T06:00:00,Replied,5189,v1
800210,70070,Call,Outbound,2025-10-09T12:13:00,Left VM,5226,v1
800211,70071,Call,Outbound,2025-10-14T21:52:00,Opted-Out,4526,v1
800212,70071,SMS,Outbound,2025-10-15T06:25:00,Replied,5969,v2
800213,70072,SMS,Outbound,2025-10-07T01:51:00,Connected,3503,v1
800214,70072,Call,Inbound,2025-10-07T23:01:00,No Answer,4752,v2
800215,70072,Call,Inbound,2025-10-08T21:12:00,Replied,685,v2
800216,70073,Call,Inbound,2025-09-15T03:52:00,Replied,3492,v3
800217,70073,SMS,Inbound,2025-09-16T01:10:00,Connected,6744,v2
800218,70073,Email,Inbound,2025-09-16T02:20:00,Left VM,6246,v2
800219,70073,SMS,Outbound,2025-09-16T23:08:00,Opted-Out,5982,v1
800220,70074,Email,Inbound,2025-09-02T06:35:00,Replied,2350,v2
800221,70074,SMS,Inbound,2025-09-03T02:16:00,Left VM,2759,v1
800222,70074,Call,Outbound,2025-09-03T18:47:00,Connected,64,v1
800223,70075,Email,Inbound,2025-09-20T01:55:00,Replied,3262,v3
800224,70075,Email,Inbound,2025-09-20T15:09:00,No Answer,5281,v3
800225,70075,Email,Outbound,2025-09-20T18:04:00,Left VM,3182,v3
800226,70075,Call,Inbound,2025-09-21T00:06:00,No Answer,6348,v3
800227,70075,SMS,Inbound,2025-09-21T12:29:00,No Answer,5735,v1
800228,70076,SMS,Outbound,2025-10-14T05:32:00,Connected,3943,v1
800229,70076,SMS,Outbound,2025-10-14T18:22:00,Connected,2170,v3
800230,70076,SMS,Outbound,2025-10-15T10:24:00,No Answer,2056,v3
800231,70076,SMS,Outbound,2025-10-16T06:38:00,Left VM,986,v1
800232,70077,SMS,Outbound,2025-09-14T07:10:00,Opted-Out,1576,v2
800233,70077,Email,Inbound,2025-09-14T13:19:00,No Answer,4131,v3
800234,70077,Email,Inbound,2025-09-15T12:17:00,Replied,6194,v3
800235,70077,Call,Inbound,2025-09-15T15:49:00,Connected,2233,v3
800236,70078,SMS,Inbound,2025-10-05T09:08:00,Left VM,1409,v2
800237,70078,Call,Outbound,2025-10-05T09:41:00,Replied,4330,v2
800238,70079,Call,Outbound,2025-09-30T07:24:00,No Answer,1556,v3
800239,70079,Call,Inbound,2025-09-30T12:29:00,Connected,4147,v1
800240,70079,SMS,Outbound,2025-10-01T04:21:00,Connected,1676,v1
800241,70080,Email,Inbound,2025-09-18T18:56:00,Replied,5165,v3
800242,70080,SMS,Outbound,2025-09-18T23:09:00,Left VM,2431,v1
800243,70081,Email,Outbound,2025-09-20T23:10:00,No Answer,273,v3
800244,70081,Email,Inbound,2025-09-21T07:40:00,Left VM,107,v1
800245,70081,Call,Outbound,2025-09-21T17:14:00,Left VM,1759,v3
800246,70081,Email,Inbound,2025-09-21T17:58:00,Replied,3906,v2
800247,70082,Email,Inbound,2025-09-29T07:02:00,No Answer,2612,v1
800248,70082,SMS,Inbound,2025-09-29T19:51:00,Replied,5033,v1
800249,70082,Email,Outbound,2025-09-30T08:30:00,Left VM,3773,v3
800250,70082,SMS,Outbound,2025-09-30T22:42:00,Left VM,4960,v1
800251,70082,Email,Outbound,2025-10-01T17:18:00,No Answer,3732,v3
800252,70083,Email,Outbound,2025-09-03T10:46:00,Left VM,5257,v2
800253,70083,SMS,Inbound,2025-09-03T11:50:00,Left VM,6645,v3
800254,70083,SMS,Inbound,2025-09-03T23:26:00,Connected,5000,v2
800255,70083,SMS,Outbound,2025-09-04T13:35:00,No Answer,3535,v2
800256,70084,Email,Outbound,2025-09-21T07:30:00,Connected,7155,v3
800257,70085,Call,Outbound,2025-09-11T09:42:00,Replied,6557,v1
800258,70085,SMS,Inbound,2025-09-11T20:29:00,Connected,3685,v1
800259,70085,SMS,Outbound,2025-09-12T13:26:00,Connected,1763,v1
800260,70085,SMS,Outbound,2025-09-13T12:27:00,Left VM,3592,v3
800261,70085,Call,Inbound,2025-09-13T13:56:00,Replied,6307,v2
800262,70086,SMS,Inbound,2025-10-07T19:26:00,Left VM,5481,v1
800263,70086,SMS,Inbound,2025-10-08T14:10:00,Left VM,6547,v3
800264,70087,SMS,Outbound,2025-09-24T03:55:00,No Answer,3118,v3
800265,70087,SMS,Inbound,2025-09-24T17:26:00,Connected,1861,v2
800266,70087,Email,Outbound,2025-09-24T21:52:00,Left VM,760,v2
800267,70088,SMS,Outbound,2025-09-25T23:31:00,Opted-Out,3042,v1
800268,70088,Email,Outbound,2025-09-26T10:42:00,No Answer,536,v3
800269,70088,Call,Inbound,2025-09-27T05:28:00,Replied,2648,v2
800270,70088,Call,Outbound,2025-09-28T05:09:00,Left VM,3268,v1
800271,70088,Email,Inbound,2025-09-29T00:01:00,Connected,6715,v2
800272,70089,SMS,Inbound,2025-09-10T03:13:00,Connected,4957,v2
800273,70089,SMS,Outbound,2025-09-10T08:41:00,Opted-Out,2652,v2
800274,70090,Call,Inbound,2025-09-26T10:54:00,Opted-Out,3948,v3
800275,70090,Email,Inbound,2025-09-26T18:45:00,Replied,511,v2
800276,70090,SMS,Outbound,2025-09-27T00:27:00,Connected,5767,v3
800277,70090,Call,Inbound,2025-09-27T02:44:00,Replied,2480,v3
800278,70090,Call,Inbound,2025-09-27T08:40:00,No Answer,3490,v3
800279,70091,Email,Inbound,2025-10-11T00:05:00,Left VM,4354,v3
800280,70091,Email,Outbound,2025-10-11T10:14:00,Opted-Out,3255,v1
800281,70091,Email,Outbound,2025-10-11T15:12:00,No Answer,3778,v3
800282,70091,SMS,Outbound,2025-10-11T21:17:00,Replied,5731,v2
800283,70092,Call,Outbound,2025-10-01T17:19:00,Connected,6053,v3
800284,70092,Email,Outbound,2025-10-01T18:07:00,Connected,3114,v2
800285,70092,Call,Outbound,2025-10-02T17:48:00,Left VM,2942,v2
800286,70093,Call,Inbound,2025-08-27T21:33:00,Opted-Out,3583,v1
800287,70093,SMS,Inbound,2025-08-28T19:27:00,Connected,308,v1
800288,70094,Email,Inbound,2025-10-07T05:32:00,Opted-Out,1443,v3
800289,70094,SMS,Outbound,2025-10-07T18:50:00,Replied,7115,v3
800290,70095,SMS,Inbound,2025-08-31T03:33:00,No Answer,125,v1
800291,70095,Call,Outbound,2025-08-31T08:01:00,Replied,5284,v3
800292,70095,Call,Outbound,2025-09-01T01:54:00,Opted-Out,4723,v3
800293,70095,Email,Outbound,2025-09-01T18:46:00,Opted-Out,1513,v2
800294,70096,SMS,Inbound,2025-09-19T15:19:00,No Answer,4711,v1
800295,70096,Email,Outbound,2025-09-19T19:12:00,Opted-Out,1544,v2
800296,70096,Email,Inbound,2025-09-19T20:22:00,Left VM,4280,v3
800297,70096,SMS,Outbound,2025-09-20T15:15:00,Connected,5425,v1
800298,70097,SMS,Outbound,2025-10-07T06:49:00,Left VM,4574,v2
800299,70097,Call,Outbound,2025-10-07T18:02:00,Connected,4741,v1
800300,70098,SMS,Inbound,2025-08-26T13:08:00,Left VM,723,v1
800301,70098,Email,Inbound,2025-08-27T06:54:00,Opted-Out,1435,v2
800302,70099,Email,Outbound,2025-09-18T04:46:00,Opted-Out,6442,v2
800303,70100,Call,Inbound,2025-10-04T08:40:00,No Answer,4311,v2
800304,70100,SMS,Outbound,2025-10-05T05:51:00,Left VM,5458,v1
800305,70100,Call,Outbound,2025-10-05T14:26:00,Connected,2485,v1
800306,70100,SMS,Outbound,2025-10-05T19:30:00,Opted-Out,2971,v2
800307,70100,SMS,Inbound,2025-10-06T00:23:00,Left VM,4534,v2
800308,70101,SMS,Outbound,2025-09-14T22:47:00,Replied,3766,v1
800309,70101,SMS,Inbound,2025-09-15T07:57:00,Connected,4420,v1
800310,70101,SMS,Inbound,2025-09-15T10:51:00,Connected,5882,v2
800311,70102,SMS,Outbound,2025-09-25T09:05:00,Replied,6760,v1
800312,70102,Email,Inbound,2025-09-25T20:22:00,Left VM,4974,v1
800313,70102,Email,Outbound,2025-09-25T23:30:00,Opted-Out,931,v3
800314,70102,Email,Outbound,2025-09-26T18:43:00,No Answer,5274,v1
800315,70102,Email,Inbound,2025-09-27T07:36:00,Connected,7147,v1
800316,70103,Call,Inbound,2025-10-09T14:39:00,Connected,3131,v1
800317,70103,Call,Inbound,2025-10-09T19:21:00,Opted-Out,6758,v2
800318,70103,SMS,Inbound,2025-10-09T23:06:00,Opted-Out,7119,v2
800319,70104,SMS,Outbound,2025-08-25T03:30:00,Left VM,1428,v2
800320,70104,Call,Inbound,2025-08-25T17:17:00,Opted-Out,4549,v3
800321,70104,Email,Outbound,2025-08-26T07:31:00,No Answer,107,v3
800322,70104,SMS,Outbound,2025-08-27T01:32:00,Connected,1198,v2
800323,70104,SMS,Inbound,2025-08-27T21:24:00,Left VM,5972,v3
800324,70105,SMS,Inbound,2025-10-16T01:07:00,Replied,1529,v2
800325,70105,Email,Inbound,2025-10-16T13:41:00,No Answer,3534,v3
800326,70105,Email,Outbound,2025-10-16T21:59:00,No Answer,3360,v2
800327,70106,Call,Outbound,2025-08-30T14:57:00,Connected,797,v1
800328,70107,Call,Inbound,2025-09-15T18:32:00,Opted-Out,4067,v1
800329,70107,SMS,Outbound,2025-09-16T09:30:00,Replied,4108,v3
800330,70107,SMS,Outbound,2025-09-17T09:23:00,Replied,143,v3
800331,70107,SMS,Outbound,2025-09-17T16:22:00,Replied,5785,v3
800332,70107,Call,Outbound,2025-09-18T04:38:00,Opted-Out,3705,v1
800333,70108,Call,Outbound,2025-09-17T19:00:00,No Answer,6906,v1
800334,70108,Email,Outbound,2025-09-18T13:02:00,Replied,4089,v2
800335,70108,Email,Outbound,2025-09-18T19:21:00,No Answer,5592,v1
800336,70108,Call,Inbound,2025-09-19T14:15:00,No Answer,3987,v2
800337,70108,Call,Outbound,2025-09-19T23:47:00,Opted-Out,3254,v1
800338,70109,SMS,Outbound,2025-09-19T08:39:00,Replied,5090,v2
800339,70109,Email,Outbound,2025-09-19T11:06:00,Opted-Out,3801,v2
800340,70109,Email,Outbound,2025-09-19T21:47:00,Left VM,2894,v3
800341,70110,Email,Outbound,2025-09-25T09:14:00,Left VM,3559,v2
800342,70110,Call,Outbound,2025-09-25T16:28:00,Replied,1044,v2
800343,70111,SMS,Inbound,2025-10-02T17:41:00,Connected,3885,v2
800344,70112,Email,Inbound,2025-09-15T06:07:00,Connected,4424,v2
800345,70112,Email,Inbound,2025-09-15T10:19:00,Connected,1175,v2
800346,70112,Call,Inbound,2025-09-16T01:37:00,Connected,936,v1
800347,70113,Call,Inbound,2025-08-31T15:01:00,Replied,6124,v2
800348,70113,Call,Outbound,2025-08-31T16:35:00,Replied,5479,v2
800349,70113,Email,Inbound,2025-08-31T21:08:00,Opted-Out,4089,v3
800350,70114,Email,Inbound,2025-10-03T03:24:00,Connected,928,v1
800351,70114,Call,Outbound,2025-10-03T04:37:00,No Answer,4126,v1
800352,70115,SMS,Inbound,2025-10-14T19:00:00,Replied,4921,v3
800353,70115,Email,Inbound,2025-10-14T19:46:00,No Answer,2341,v2
800354,70116,Call,Outbound,2025-10-09T07:47:00,Opted-Out,1560,v1
800355,70117,Email,Outbound,2025-09-26T15:04:00,Replied,1655,v2
800356,70117,SMS,Outbound,2025-09-26T19:05:00,Connected,7033,v3
800357,70117,SMS,Outbound,2025-09-27T17:03:00,Connected,1016,v1
800358,70118,Email,Outbound,2025-10-06T18:19:00,Connected,3522,v1
800359,70118,Call,Outbound,2025-10-07T15:51:00,Left VM,3145,v2
800360,70118,Email,Outbound,2025-10-08T10:16:00,Connected,2783,v2
800361,70118,Call,Inbound,2025-10-09T03:07:00,Left VM,2522,v1
800362,70119,Email,Inbound,2025-10-03T04:56:00,Replied,2053,v2
800363,70119,Call,Outbound,2025-10-03T07:03:00,Left VM,457,v3
