parts_invoice_id,store_id,ro_id,ticket_type,part_no,qty,unit_cost,unit_price,extended_cost,extended_price,bin_location,backorder_flag
120024,1,110009,Warranty,PN-22120,3,307.39,424.11,922.17,1272.33,A10-B4,False
120025,1,110009,Retail,PN-35733,3,255.62,391.2,766.86,1173.6,A1-B10,False
120026,1,110010,Retail,PN-25095,1,66.88,98.64,66.88,98.64,A5-B7,True
120027,1,110010,Retail,PN-70338,1,176.78,330.63,176.78,330.63,A14-B8,False
120028,1,110010,Warranty,PN-21696,1,19.64,28.81,19.64,28.81,A4-B2,False
120029,1,110010,Retail,PN-14183,1,34.71,62.63,34.71,62.63,A15-B3,False
120030,1,110011,Warranty,PN-14852,1,63.94,93.09,63.94,93.09,A10-B10,False
120031,1,110011,Warranty,PN-69682,2,102.5,155.1,205.0,310.2,A10-B9,False
120032,1,110011,Retail,PN-83188,2,43.94,83.38,87.88,166.76,A13-B9,False
120033,1,110011,Retail,PN-27646,2,260.85,387.63,521.7,775.26,A5-B10,False
120034,2,110012,Warranty,PN-58067,1,256.61,378.8,256.61,378.8,A12-B7,False
120035,2,110012,Retail,PN-38130,1,263.57,365.66,263.57,365.66,A19-B10,False
120036,1,110013,Retail,PN-28596,1,199.3,350.48,199.3,350.48,A9-B4,False
120037,1,110013,Retail,PN-27083,2,165.21,249.61,330.42,499.22,A7-B1,False
120038,1,110013,Retail,PN-73157,1,293.58,400.21,293.58,400.21,A2-B7,False
120039,1,110013,Retail,PN-17904,3,43.87,77.07,131.61,231.21,A6-B10,False
120040,1,110014,Retail,PN-87438,3,171.4,326.09,514.2,978.27,A1-B7,False
120041,1,110014,Internal,PN-24029,1,255.62,387.7,255.62,387.7,A11-B6,False
120042,1,110014,Warranty,PN-39076,1,263.34,373.36,263.34,373.36,A10-B1,False
120043,1,110014,Internal,PN-75062,1,7.61,12.5,7.61,12.5,A19-B8,False
120044,1,110015,Warranty,PN-55617,3,21.43,33.87,64.29,101.61,A12-B5,False
120045,1,110015,Warranty,PN-27938,1,245.04,425.87,245.04,425.87,A9-B8,False
120046,1,110015,Retail,PN-77394,1,12.76,24.64,12.76,24.64,A4-B1,False
120047,1,110016,Retail,PN-21793,3,68.1,107.28,204.3,321.84,A16-B3,False
120048,1,110016,Warranty,PN-97843,1,161.96,247.25,161.96,247.25,A12-B8,False
120049,1,110016,Internal,PN-17969,3,13.29,18.56,39.87,55.68,A15-B2,False
120050,1,110016,Retail,PN-40040,1,99.11,186.82,99.11,186.82,A11-B2,False
120051,2,110017,Retail,PN-36148,2,343.27,436.64,686.54,873.28,A13-B3,False
120052,2,110017,Retail,PN-79689,1,10.73,16.03,10.73,16.03,A17-B6,False
120053,2,110017,Retail,PN-25793,3,112.99,196.12,338.97,588.36,A18-B1,False
120054,2,110018,Internal,PN-67603,3,137.52,184.15,412.56,552.45,A9-B7,False
120055,2,110018,Retail,PN-78762,2,194.45,371.32,388.9,742.64,A8-B3,False
120056,2,110019,Retail,PN-65779,1,15.31,19.28,15.31,19.28,A4-B5,False
120057,2,110019,Warranty,PN-16629,3,194.16,267.24,582.48,801.72,A15-B10,False
120058,2,110019,Retail,PN-95865,2,34.73,60.32,69.46,120.64,A9-B10,False
120059,2,110019,Warranty,PN-92716,3,25.18,35.24,75.54,105.72,A9-B10,True
120060,2,110020,Warranty,PN-15543,3,233.3,448.88,699.9,1346.64,A9-B10,False
120061,2,110020,Warranty,PN-75130,1,214.79,364.49,214.79,364.49,A13-B10,False
120062,2,110021,Retail,PN-67542,3,54.31,104.54,162.93,313.62,A4-B7,False
120063,2,110021,Internal,PN-23051,3,179.73,338.71,539.19,1016.13,A5-B4,False
120064,2,110021,Retail,PN-32832,1,148.24,220.83,148.24,220.83,A11-B7,False
120065,2,110021,Retail,PN-47893,3,203.95,311.55,611.85,934.65,A19-B10,False
120066,2,110022,Retail,PN-66464,1,25.99,34.81,25.99,34.81,A5-B1,False
120067,2,110022,Retail,PN-32482,1,174.87,234.43,174.87,234.43,A4-B2,False
120068,2,110022,Warranty,PN-96565,1,208.66,299.04,208.66,299.04,A9-B2,False
120069,2,110022,Retail,PN-99698,3,314.36,424.95,943.08,1274.85,A20-B10,False
120070,1,110023,Retail,PN-12937,1,212.31,404.36,212.31,404.36,A18-B9,False
120071,1,110023,Warranty,PN-19254,2,272.65,417.87,545.3,835.74,A18-B7,False
120072,1,110023,Retail,PN-56668,2,133.28,243.12,266.56,486.24,A17-B9,False
120073,1,110023,Retail,PN-67365,1,163.8,259.13,163.8,259.13,A1-B9,False
120074,1,110024,Retail,PN-97370,2,153.49,245.34,306.98,490.68,A3-B3,False
120075,1,110025,Retail,PN-94928,3,29.1,42.88,87.3,128.64,A3-B3,False
120076,1,110025,Warranty,PN-88630,2,206.58,305.08,413.16,610.16,A14-B9,False
120077,1,110025,Retail,PN-97854,1,153.25,211.19,153.25,211.19,A16-B1,False
120078,1,110025,Retail,PN-21591,3,116.26,162.82,348.78,488.46,A19-B7,False
120079,2,110026,Retail,PN-73898,1,149.74,224.99,149.74,224.99,A10-B9,False
120080,2,110026,Warranty,PN-70324,2,198.04,326.68,396.08,653.36,A19-B7,False
120081,2,110026,Retail,PN-93840,3,17.1,25.1,51.3,75.3,A10-B10,False
120082,2,110026,Warranty,PN-13358,3,67.01,115.65,201.03,346.95,A9-B8,False
120083,1,110027,Retail,PN-60585,1,110.57,202.56,110.57,202.56,A5-B3,False
120084,1,110027,Warranty,PN-46073,2,150.74,263.1,301.48,526.2,A18-B9,False
120085,2,110028,Retail,PN-90488,2,160.27,242.91,320.54,485.82,A2-B7,False
120086,2,110028,Internal,PN-79102,2,98.64,180.86,197.28,361.72,A15-B10,False
120087,1,110029,Retail,PN-38108,1,146.54,282.34,146.54,282.34,A4-B10,False
120088,1,110029,Internal,PN-93898,3,80.65,115.49,241.95,346.47,A6-B4,False
120089,1,110029,Retail,PN-10055,1,69.73,108.53,69.73,108.53,A11-B3,False
120090,1,110029,Retail,PN-62508,1,246.7,413.67,246.7,413.67,A11-B1,False
120091,2,110030,Retail,PN-90777,2,219.88,338.96,439.76,677.92,A4-B7,False
120092,2,110030,Retail,PN-84346,1,279.03,393.5,279.03,393.5,A14-B7,False
120093,2,110030,Internal,PN-18563,2,220.19,341.24,440.38,682.48,A17-B3,False
120094,2,110031,Retail,PN-62521,3,189.79,245.76,569.37,737.28,A15-B9,False
120095,2,110032,Warranty,PN-23708,1,126.11,202.07,126.11,202.07,A8-B6,False
120096,2,110032,Retail,PN-90801,2,222.57,283.83,445.14,567.66,A18-B10,False
120097,2,110032,Warranty,PN-82030,1,213.15,316.0,213.15,316.0,A15-B5,False
120098,2,110033,Retail,PN-54601,3,110.56,144.0,331.68,432.0,A19-B5,False
120099,2,110033,Retail,PN-88526,3,14.47,26.94,43.41,80.82,A6-B1,False
120100,2,110033,Internal,PN-15831,2,256.9,447.63,513.8,895.26,A12-B2,False
120101,2,110033,Retail,PN-88119,1,138.66,193.0,138.66,193.0,A18-B9,False
120102,2,110034,Warranty,PN-26484,2,90.31,144.9,180.62,289.8,A4-B9,False
120103,2,110034,Retail,PN-16442,2,88.21,170.71,176.42,341.42,A1-B10,False
120104,1,110035,Retail,PN-16154,1,109.16,137.93,109.16,137.93,A10-B7,False
120105,1,110035,Warranty,PN-82974,3,286.91,390.01,860.73,1170.03,A20-B7,False
120106,1,110035,Retail,PN-11881,2,20.08,27.25,40.16,54.5,A10-B6,False
120107,2,110036,Internal,PN-84869,2,205.6,341.54,411.2,683.08,A15-B5,False
120108,2,110036,Warranty,PN-65725,1,59.04,90.57,59.04,90.57,A5-B4,False
120109,2,110036,Retail,PN-27145,2,74.47,119.85,148.94,239.7,A6-B7,False
120110,1,110037,Warranty,PN-55485,1,36.72,53.24,36.72,53.24,A8-B1,True
120111,1,110037,Retail,PN-29943,3,147.06,194.35,441.18,583.05,A10-B3,False
120112,1,110037,Warranty,PN-72121,2,149.47,195.54,298.94,391.08,A10-B7,False
120113,2,110038,Retail,PN-46822,3,17.77,34.96,53.31,104.88,A4-B2,False
120114,2,110038,Warranty,PN-93809,3,211.62,367.8,634.86,1103.4,A13-B1,True
120115,2,110038,Retail,PN-61915,3,7.5,11.68,22.5,35.04,A16-B8,False
120116,1,110039,Retail,PN-56971,1,217.55,394.21,217.55,394.21,A15-B1,False
120117,1,110039,Retail,PN-44487,2,162.46,203.52,324.92,407.04,A6-B7,False
120118,1,110040,Retail,PN-72747,1,18.96,28.79,18.96,28.79,A11-B4,False
120119,1,110041,Internal,PN-93303,3,17.59,26.4,52.77,79.2,A6-B6,False
120120,1,110041,Warranty,PN-40482,3,44.58,82.8,133.74,248.4,A17-B6,False
120121,1,110041,Retail,PN-14120,2,285.54,359.63,571.08,719.26,A14-B5,False
120122,1,110041,Warranty,PN-35796,2,84.45,131.92,168.9,263.84,A3-B2,False
120123,1,110042,Retail,PN-80420,1,334.81,420.92,334.81,420.92,A20-B8,False
120124,1,110042,Retail,PN-62185,3,263.44,331.38,790.32,994.14,A7-B4,False
120125,2,110043,Warranty,PN-80634,2,44.89,80.53,89.78,161.06,A13-B3,False
120126,2,110043,Retail,PN-18817,2,81.8,162.37,163.6,324.74,A20-B7,False
120127,1,110044,Retail,PN-89807,2,104.54,151.38,209.08,302.76,A8-B6,False
120128,2,110045,Warranty,PN-50053,2,160.83,282.74,321.66,565.48,A1-B1,False
120129,2,110045,Retail,PN-61948,3,256.77,355.59,770.31,1066.77,A15-B8,False
120130,2,110046,Retail,PN-97821,2,87.54,158.68,175.08,317.36,A12-B5,False
120131,2,110047,Retail,PN-18645,3,65.11,98.57,195.33,295.71,A16-B10,False
120132,2,110048,Warranty,PN-95316,3,188.38,354.0,565.14,1062.0,A11-B4,False
120133,2,110048,Retail,PN-96647,1,44.87,70.45,44.87,70.45,A9-B9,False
120134,2,110048,Retail,PN-77435,3,161.76,257.71,485.28,773.13,A5-B10,False
120135,2,110048,Warranty,PN-23717,2,155.8,219.15,311.6,438.3,A9-B8,False
120136,1,110049,Internal,PN-88409,2,80.62,108.49,161.24,216.98,A18-B7,False
120137,1,110049,Warranty,PN-95026,1,95.78,124.17,95.78,124.17,A8-B10,False
120138,1,110049,Retail,PN-24775,3,73.6,109.78,220.8,329.34,A18-B8,True
120139,2,110050,Internal,PN-16471,3,54.34,98.49,163.02,295.47,A19-B9,False
120140,2,110050,Retail,PN-34263,1,35.86,69.84,35.86,69.84,A8-B3,False
120141,1,110051,Retail,PN-25022,1,192.61,312.79,192.61,312.79,A2-B1,False
120142,2,110052,Retail,PN-48728,3,89.03,176.87,267.09,530.61,A7-B6,False
120143,2,110052,Retail,PN-82487,1,103.49,133.5,103.49,133.5,A10-B6,False
120144,2,110052,Warranty,PN-73253,3,287.56,424.82,862.68,1274.46,A9-B7,False
120145,2,110052,Retail,PN-87162,3,162.23,290.47,486.69,871.41,A11-B2,True
120146,2,110053,Warranty,PN-62989,3,176.28,349.03,528.84,1047.09,A6-B1,False
120147,2,110053,Retail,PN-67348,2,333.82,424.84,667.64,849.68,A3-B6,True
120148,1,110054,Retail,PN-45215,2,151.98,197.62,303.96,395.24,A3-B2,True
120149,2,110055,Retail,PN-39464,2,72.64,138.1,145.28,276.2,A10-B1,False
120150,2,110055,Warranty,PN-87526,3,92.42,149.15,277.26,447.45,A9-B10,False
120151,2,110055,Retail,PN-35512,3,170.09,278.75,510.27,836.25,A14-B7,False
120152,2,110055,Warranty,PN-84003,2,154.27,251.51,308.54,503.02,A20-B7,False
120153,1,110056,Retail,PN-78162,1,158.84,239.94,158.84,239.94,A19-B2,False
120154,1,110056,Warranty,PN-57721,3,192.95,298.88,578.85,896.64,A1-B6,False
120155,1,110056,Retail,PN-69568,2,54.3,85.37,108.6,170.74,A13-B1,False
120156,1,110056,Retail,PN-56990,1,47.99,61.29,47.99,61.29,A15-B9,False
120157,1,110057,Retail,PN-10766,2,9.16,11.54,18.32,23.08,A19-B6,False
120158,1,110057,Retail,PN-25437,1,215.28,353.86,215.28,353.86,A15-B8,False
120159,2,110058,Retail,PN-34232,3,218.41,337.84,655.23,1013.52,A3-B2,False
120160,2,110059,Retail,PN-28057,2,32.76,45.9,65.52,91.8,A14-B5,False
120161,2,110059,Retail,PN-19758,1,175.87,273.41,175.87,273.41,A15-B1,False
120162,1,110060,Retail,PN-82555,3,191.65,330.48,574.95,991.44,A12-B5,False
120163,1,110060,Retail,PN-85756,1,107.83,146.94,107.83,146.94,A5-B3,False
120164,1,110060,Retail,PN-16524,2,113.07,226.14,226.14,452.28,A3-B7,False
120165,1,110061,Retail,PN-27827,2,65.73,127.42,131.46,254.84,A9-B8,False
120166,1,110061,Retail,PN-46699,3,51.78,77.51,155.34,232.53,A1-B1,False
120167,1,110061,Retail,PN-31091,3,228.34,295.12,685.02,885.36,A9-B8,False
120168,1,110062,Retail,PN-58908,2,29.16,37.26,58.32,74.52,A1-B8,False
120169,1,110062,Warranty,PN-17733,2,294.03,424.62,588.06,849.24,A3-B2,False
120170,1,110063,Warranty,PN-96106,3,53.82,84.21,161.46,252.63,A3-B6,False
120171,1,110064,Retail,PN-67748,3,286.84,396.65,860.52,1189.95,A2-B10,False
120172,2,110065,Retail,PN-99192,1,156.57,210.76,156.57,210.76,A1-B1,False
120173,2,110066,Internal,PN-85235,3,260.58,374.34,781.74,1123.02,A10-B9,False
120174,2,110066,Retail,PN-84381,3,100.63,135.4,301.89,406.2,A17-B8,False
120175,2,110066,Retail,PN-27236,3,197.5,260.02,592.5,780.06,A20-B5,False
120176,1,110067,Internal,PN-77458,1,136.02,188.97,136.02,188.97,A5-B8,False
120177,1,110067,Internal,PN-19269,2,192.01,365.87,384.02,731.74,A2-B5,False
120178,1,110067,Warranty,PN-39069,1,107.99,161.55,107.99,161.55,A6-B2,False
120179,1,110067,Warranty,PN-57178,2,76.4,99.93,152.8,199.86,A15-B5,False
120180,1,110068,Retail,PN-63166,2,214.21,392.75,428.42,785.5,A9-B9,False
120181,1,110068,Retail,PN-42947,3,109.4,196.02,328.2,588.06,A10-B9,False
120182,2,110069,Internal,PN-92656,1,83.25,146.47,83.25,146.47,A10-B7,False
120183,2,110069,Retail,PN-68239,3,15.67,26.11,47.01,78.33,A9-B1,False
120184,2,110069,Retail,PN-62044,2,170.11,280.84,340.22,561.68,A6-B4,False
120185,2,110070,Internal,PN-52539,3,15.73,20.14,47.19,60.42,A4-B1,False
120186,2,110071,Retail,PN-40614,3,13.76,17.26,41.28,51.78,A4-B2,False
120187,2,110071,Retail,PN-12503,2,275.11,351.61,550.22,703.22,A5-B6,False
120188,2,110071,Retail,PN-33219,3,299.02,424.38,897.06,1273.14,A6-B1,False
120189,2,110072,Retail,PN-20899,1,112.69,145.23,112.69,145.23,A6-B1,False
120190,2,110072,Retail,PN-84172,3,41.15,65.18,123.45,195.54,A12-B1,True
120191,2,110072,Retail,PN-51878,2,243.49,343.0,486.98,686.0,A4-B6,False
120192,1,110073,Warranty,PN-44030,2,303.03,435.14,606.06,870.28,A15-B10,False
120193,1,110073,Retail,PN-68057,2,102.85,130.72,205.7,261.44,A7-B3,False
120194,2,110074,Retail,PN-13676,2,216.76,320.19,433.52,640.38,A8-B2,True
120195,2,110075,Internal,PN-11599,2,295.96,431.04,591.92,862.08,A7-B10,False
120196,2,110075,Internal,PN-66152,2,124.97,159.95,249.94,319.9,A2-B9,False
120197,2,110075,Warranty,PN-22293,2,22.31,33.66,44.62,67.32,A8-B6,False
120198,2,110075,Retail,PN-41933,3,316.68,401.9,950.04,1205.7,A12-B10,False
120199,1,110076,Retail,PN-73818,2,90.59,177.63,181.18,355.26,A19-B10,True
120200,2,110077,Internal,PN-81761,2,202.9,259.18,405.8,518.36,A2-B2,False
120201,2,110078,Internal,PN-72781,2,89.43,121.93,178.86,243.86,A17-B5,False
120202,2,110078,Warranty,PN-84747,1,254.89,323.91,254.89,323.91,A10-B5,False
120203,2,110078,Retail,PN-70093,2,196.66,388.54,393.32,777.08,A13-B3,False
120204,2,110078,Warranty,PN-19552,1,70.36,101.99,70.36,101.99,A16-B4,False
120205,2,110079,Retail,PN-70211,2,38.8,62.85,77.6,125.7,A18-B5,False
120206,2,110079,Retail,PN-29588,1,198.6,284.34,198.6,284.34,A8-B4,False
120207,2,110079,Retail,PN-15221,1,25.99,36.04,25.99,36.04,A14-B1,False
120208,2,110080,Internal,PN-76903,3,228.57,345.12,685.71,1035.36,A9-B4,True
120209,1,110081,Warranty,PN-90775,1,111.38,175.89,111.38,175.89,A1-B5,False
120210,1,110082,Retail,PN-81176,2,117.24,153.67,234.48,307.34,A15-B6,False
120211,1,110082,Retail,PN-65508,1,29.86,44.04,29.86,44.04,A10-B3,False
120212,1,110082,Warranty,PN-33485,1,245.54,429.2,245.54,429.2,A1-B3,False
120213,1,110083,Internal,PN-13232,3,50.76,88.01,152.28,264.03,A20-B3,True
120214,1,110083,Warranty,PN-39576,2,41.44,55.97,82.88,111.94,A18-B1,False
120215,1,110083,Warranty,PN-89691,2,174.33,316.69,348.66,633.38,A6-B2,False
120216,1,110084,Retail,PN-57977,3,168.08,259.92,504.24,779.76,A19-B2,False
120217,2,110085,Retail,PN-82168,3,131.64,199.26,394.92,597.78,A3-B10,False
120218,1,110086,Warranty,PN-60032,3,240.95,437.9,722.85,1313.7,A18-B9,True
120219,1,110086,Internal,PN-72750,1,248.08,338.93,248.08,338.93,A18-B10,False
120220,1,110086,Internal,PN-76652,1,152.32,248.63,152.32,248.63,A19-B8,False
120221,1,110086,Retail,PN-17001,3,100.82,127.87,302.46,383.61,A4-B9,False
120222,2,110087,Retail,PN-48606,1,3.07,5.54,3.07,5.54,A18-B3,False
120223,2,110087,Retail,PN-21623,1,51.09,65.2,51.09,65.2,A9-B5,False
120224,2,110087,Internal,PN-78799,2,213.21,296.4,426.42,592.8,A4-B2,False
120225,2,110087,Warranty,PN-98228,2,186.77,261.89,373.54,523.78,A5-B1,False
120226,1,110088,Retail,PN-27196,1,91.62,128.26,91.62,128.26,A5-B8,False
120227,1,110088,Retail,PN-35423,1,166.98,314.48,166.98,314.48,A2-B3,False
120228,2,110089,Retail,PN-10378,2,248.5,399.42,497.0,798.84,A2-B6,False
120229,2,110089,Retail,PN-56643,3,80.62,107.71,241.86,323.13,A13-B10,False
120230,2,110089,Warranty,PN-95427,3,76.54,104.79,229.62,314.37,A6-B10,False
120231,2,110089,Warranty,PN-71561,3,280.98,398.14,842.94,1194.42,A10-B7,False
120232,2,110090,Retail,PN-13823,1,207.71,264.01,207.71,264.01,A9-B4,False
120233,2,110091,Retail,PN-20637,1,173.5,280.94,173.5,280.94,A7-B2,False
120234,2,110091,Retail,PN-58309,1,139.08,227.98,139.08,227.98,A14-B7,False
120235,2,110091,Internal,PN-21024,1,124.63,175.51,124.63,175.51,A19-B9,False
120236,1,110092,Warranty,PN-43388,2,21.51,31.9,43.02,63.8,A10-B1,False
120237,1,110092,Retail,PN-34715,2,100.17,179.22,200.34,358.44,A8-B10,False
120238,1,110092,Retail,PN-34873,1,95.06,139.52,95.06,139.52,A5-B3,False
120239,2,110093,Retail,PN-63862,1,35.07,44.36,35.07,44.36,A5-B6,False
120240,2,110093,Retail,PN-99021,3,182.38,314.46,547.14,943.38,A17-B9,False
120241,2,110093,Internal,PN-90963,1,157.14,242.54,157.14,242.54,A4-B10,False
120242,2,110093,Internal,PN-21093,1,207.7,289.56,207.7,289.56,A20-B10,False
120243,1,110094,Retail,PN-27560,1,56.83,94.45,56.83,94.45,A10-B8,False
120244,1,110094,Retail,PN-40913,1,280.42,400.59,280.42,400.59,A8-B4,False
120245,1,110094,Warranty,PN-20164,1,218.19,427.47,218.19,427.47,A3-B6,False
120246,2,110095,Retail,PN-71198,2,13.86,17.46,27.72,34.92,A13-B10,False
120247,2,110095,Retail,PN-45160,2,96.82,152.22,193.64,304.44,A11-B4,False
120248,2,110095,Internal,PN-45501,1,133.38,199.28,133.38,199.28,A13-B7,False
120249,2,110095,Warranty,PN-66479,3,215.59,350.73,646.77,1052.19,A7-B5,False
120250,1,110096,Warranty,PN-11038,2,66.91,132.07,133.82,264.14,A19-B6,False
120251,1,110096,Retail,PN-54786,3,244.51,413.09,733.53,1239.27,A6-B7,False
120252,2,110097,Warranty,PN-33818,2,161.71,261.19,323.42,522.38,A4-B4,True
120253,2,110097,Warranty,PN-25553,2,40.19,65.84,80.38,131.68,A9-B3,False
120254,2,110097,Retail,PN-81363,2,19.9,28.42,39.8,56.84,A19-B4,False
120255,1,110098,Retail,PN-50494,2,217.45,368.38,434.9,736.76,A7-B1,False
120256,1,110098,Retail,PN-99216,2,75.23,102.9,150.46,205.8,A1-B1,False
120257,1,110099,Internal,PN-28623,2,316.08,423.37,632.16,846.74,A4-B2,False
120258,1,110100,Retail,PN-37409,1,275.3,412.69,275.3,412.69,A12-B5,False
120259,1,110100,Warranty,PN-44047,1,152.54,197.66,152.54,197.66,A9-B8,True
120260,1,110100,Internal,PN-98697,2,72.1,91.33,144.2,182.66,A1-B9,False
120261,1,110100,Retail,PN-68288,2,294.35,394.51,588.7,789.02,A15-B8,False
120262,2,110101,Retail,PN-10446,2,191.88,308.48,383.76,616.96,A4-B5,False
120263,2,110101,Warranty,PN-56807,3,290.16,373.2,870.48,1119.6,A5-B8,False
120264,2,110101,Retail,PN-78045,1,12.45,15.94,12.45,15.94,A2-B1,True
120265,2,110101,Warranty,PN-18613,1,155.26,220.31,155.26,220.31,A10-B3,False
120266,2,110102,Retail,PN-85191,1,132.38,194.31,132.38,194.31,A4-B4,False
120267,2,110102,Retail,PN-31558,3,257.6,363.72,772.8,1091.16,A2-B4,False
120268,2,110103,Retail,PN-61218,3,113.26,158.91,339.78,476.73,A6-B1,False
120269,2,110103,Retail,PN-42260,1,180.02,261.15,180.02,261.15,A12-B3,False
120270,2,110103,Warranty,PN-37945,3,124.22,161.75,372.66,485.25,A8-B3,False
120271,2,110103,Retail,PN-90733,3,233.36,313.49,700.08,940.47,A7-B9,False
120272,2,110104,Warranty,PN-39105,1,100.42,132.86,100.42,132.86,A12-B4,False
120273,2,110104,Internal,PN-71543,2,127.14,194.94,254.28,389.88,A13-B2,False
120274,2,110105,Retail,PN-25832,1,143.45,232.6,143.45,232.6,A17-B3,False
120275,2,110105,Retail,PN-30443,1,92.47,174.6,92.47,174.6,A13-B2,False
120276,2,110105,Warranty,PN-92853,3,81.97,103.91,245.91,311.73,A6-B2,False
120277,2,110105,Retail,PN-44359,2,226.87,301.47,453.74,602.94,A18-B5,False
120278,2,110106,Retail,PN-37501,1,108.43,149.32,108.43,149.32,A7-B3,False
120279,2,110106,Warranty,PN-89616,1,270.29,414.24,270.29,414.24,A10-B5,False
120280,2,110106,Warranty,PN-30222,2,178.28,254.29,356.56,508.58,A6-B3,False
120281,2,110106,Warranty,PN-90993,2,113.57,185.24,227.14,370.48,A11-B4,False
120282,1,110107,Warranty,PN-72755,2,86.76,112.8,173.52,225.6,A8-B2,False
120283,1,110108,Warranty,PN-46146,3,18.36,29.66,55.08,88.98,A4-B4,True
120284,2,110109,Warranty,PN-95616,1,303.19,386.26,303.19,386.26,A18-B6,False
120285,2,110109,Retail,PN-96651,3,27.04,36.92,81.12,110.76,A2-B9,False
120286,2,110109,Warranty,PN-96094,3,122.63,182.69,367.89,548.07,A12-B7,False
120287,2,110110,Retail,PN-32843,2,14.91,25.04,29.82,50.08,A3-B6,False
120288,2,110110,Warranty,PN-98241,3,64.94,124.11,194.82,372.33,A11-B6,False
120289,2,110110,Retail,PN-59279,1,181.22,258.46,181.22,258.46,A19-B4,False
120290,2,110111,Retail,PN-10069,3,167.58,226.01,502.74,678.03,A5-B1,False
120291,2,110111,Retail,PN-95462,2,307.65,439.5,615.3,879.0,A16-B2,False
120292,2,110111,Internal,PN-84917,3,26.63,44.96,79.89,134.88,A8-B7,False
120293,2,110111,Warranty,PN-63213,3,121.74,184.57,365.22,553.71,A2-B10,False
120294,1,110112,Internal,PN-40320,1,23.87,38.02,23.87,38.02,A3-B10,False
120295,1,110112,Warranty,PN-13711,1,44.29,63.67,44.29,63.67,A15-B6,False
120296,1,110112,Retail,PN-56191,3,156.12,242.97,468.36,728.91,A8-B4,False
120297,1,110112,Warranty,PN-36609,3,200.96,259.39,602.88,778.17,A4-B10,False
120298,1,110113,Retail,PN-85788,2,72.52,142.4,145.04,284.8,A11-B3,False
120299,1,110113,Retail,PN-13082,1,13.58,25.33,13.58,25.33,A12-B8,False
120300,1,110113,Retail,PN-47236,2,298.98,446.97,597.96,893.94,A16-B1,False
120301,1,110113,Retail,PN-50130,1,53.29,67.42,53.29,67.42,A10-B9,False
120302,1,110114,Retail,PN-50568,2,123.2,183.41,246.4,366.82,A3-B7,False
120303,1,110114,Internal,PN-43676,2,252.0,401.28,504.0,802.56,A11-B1,True
120304,1,110114,Retail,PN-14932,1,115.04,162.09,115.04,162.09,A19-B7,False
120305,1,110114,Retail,PN-20364,3,108.33,194.85,324.99,584.55,A4-B10,False
120306,2,110115,Retail,PN-58622,3,178.38,314.7,535.14,944.1,A19-B8,False
120307,2,110115,Retail,PN-70643,1,89.96,168.76,89.96,168.76,A14-B4,False
120308,2,110116,Internal,PN-91364,1,263.24,384.73,263.24,384.73,A18-B10,False
120309,2,110116,Retail,PN-66967,3,139.89,180.09,419.67,540.27,A8-B5,False
120310,1,110117,Retail,PN-19567,2,199.38,336.67,398.76,673.34,A10-B10,False
120311,1,110117,Warranty,PN-41779,3,282.84,417.96,848.52,1253.88,A9-B5,False
