deal_id,store_id,vehicle_id,customer_id,stock_no,new_used,sale_type,selling_price,msrp,invoice,front_gross,back_gross,total_gross,doc_fee,ttl_fee,trade_id,trade_allowance,payoff,cash_down,net_cap_cost,lender_id,apr,term_months,reserve_income,product_income,deal_date,delivered_flag,we_owe_flag,ofac_pass_flag,red_flags_cleared_flag,csi_eligibility_flag,fi_manager_id,sales_manager_id
90010,1,9010,5100,ATN-00011,New,Lease,62558.76,64600.13,61289.64,1188.89,773.14,1962.03,315.14,2974.98,33683.0,8423.4,1511.56,2852.01,61410.46,10,11.3,84,466.81,306.33,2025-10-15,True,False,True,True,True,1006,1023
90011,1,9043,5070,ATN-00044,New,Retail,50032.71,49283.46,45354.72,4627.99,1739.23,6367.22,394.09,1385.89,,0.0,0.0,3573.06,,14,5.38,60,322.64,1416.59,2025-10-13,True,False,True,True,True,1016,1014
90012,1,9073,5081,ATN-00074,Used,Lease,53851.22,55769.32,52311.74,1489.48,455.31,1944.79,104.9,2736.55,,0.0,0.0,7249.13,53519.85,12,3.51,48,114.01,341.3,2025-08-31,True,False,True,True,True,1021,1003
90013,2,9005,5106,ATN-00006,New,Retail,58240.72,58349.18,55939.03,2163.3,469.79,2633.09,277.37,2835.62,31907.0,11605.55,4419.73,4554.63,,14,7.2,36,353.63,116.16,2025-09-22,True,False,True,True,True,1016,1027
90014,2,9056,5110,ATN-00057,New,Retail,58542.11,60626.11,56476.3,2015.81,1137.43,3153.24,80.31,3318.24,,0.0,0.0,7611.49,,12,5.54,84,105.92,1031.51,2025-09-26,True,False,True,True,True,1020,1023
90015,2,9038,5080,ATN-00039,New,Retail,47805.78,48014.1,44430.19,3325.59,1166.23,4491.82,192.77,326.07,,0.0,0.0,5383.81,,10,12.15,72,297.47,868.76,2025-09-14,True,False,True,True,True,1016,1014
90016,2,9065,5093,ATN-00066,Used,Retail,44282.79,44447.9,41879.82,2217.94,1876.84,4094.78,211.98,2307.12,38690.0,12325.02,6751.61,1251.1,,13,10.76,48,126.18,1750.66,2025-10-03,True,False,True,True,True,1021,1027
90017,2,9033,5049,ATN-00034,New,Retail,25118.54,25169.5,24433.19,635.35,1755.6,2390.95,246.75,4031.37,,0.0,0.0,5813.68,,12,7.4,72,182.17,1573.43,2025-10-22,True,False,True,True,True,1021,1003
90018,2,9043,5026,ATN-00044,New,Retail,49309.93,49283.46,45354.72,3836.33,801.15,4637.48,683.52,3368.19,33313.0,6006.62,3443.82,2605.48,,14,10.29,48,224.09,577.06,2025-09-07,True,False,True,True,True,1006,1003
90019,2,9063,5088,ATN-00064,Used,Retail,54181.35,56880.42,54788.09,-656.74,1950.93,1294.19,376.92,3185.06,,0.0,0.0,1998.77,,14,8.76,36,27.6,1923.33,2025-10-02,True,False,True,True,True,1020,1023
90020,2,9074,5068,ATN-00075,New,Retail,51631.67,55314.01,52372.18,-790.51,1003.42,212.91,544.14,1598.18,,0.0,0.0,4592.7,,14,3.78,48,91.06,912.36,2025-09-24,True,False,True,True,True,1020,1027
90021,2,9031,5039,ATN-00032,Used,Retail,60084.51,63304.03,59658.7,237.26,1613.6,1850.86,93.53,3388.4,35143.0,23972.8,6927.75,3746.61,,13,6.52,48,448.36,1165.24,2025-10-13,False,False,True,True,True,1006,1014
90022,2,9056,5055,ATN-00057,New,Lease,58266.41,60626.11,56476.3,1701.37,934.91,2636.28,325.31,2245.43,38657.0,2446.87,1937.22,6321.1,57036.39000000001,14,6.24,36,339.43,595.48,2025-10-19,True,True,True,True,True,1006,1027
90023,2,9011,5073,ATN-00012,New,Retail,63041.8,64901.22,61589.07,1402.73,1405.3,2808.03,607.07,2595.7,,0.0,0.0,6542.05,,13,7.41,48,114.53,1290.77,2025-09-07,True,True,True,True,True,1020,1023
90024,1,9035,5100,ATN-00036,New,Retail,29700.58,30023.07,27701.6,1868.63,962.91,2831.54,587.71,2029.59,39416.0,8051.53,4017.33,2070.82,,11,8.74,60,5.12,957.79,2025-09-06,True,False,True,True,True,1020,1027
90025,2,9075,5094,ATN-00076,Used,Retail,62270.18,62438.81,60068.75,2136.49,516.45,2652.94,207.6,1026.35,39861.0,23667.87,747.01,7427.72,,11,4.92,48,209.11,307.34,2025-09-08,False,True,True,True,True,1016,1022
90026,1,9008,5026,ATN-00009,New,Lease,28494.72,28275.2,26296.85,2147.87,343.22,2491.09,664.58,792.44,,0.0,0.0,3043.33,27377.690000000002,13,4.89,72,520.52,-177.3,2025-10-01,True,True,True,True,True,1016,1027
90027,1,9008,5088,ATN-00009,New,Retail,26357.3,28275.2,26296.85,10.45,1328.24,1338.69,548.34,781.43,,0.0,0.0,1682.62,,10,10.9,60,449.81,878.43,2025-08-28,True,True,True,True,True,1021,1003
90028,1,9069,5079,ATN-00070,New,Lease,62743.07,62721.67,60725.65,1821.01,1741.27,3562.28,327.79,3729.97,35078.0,21076.83,7320.39,5203.46,60717.65,13,3.06,60,180.42,1560.85,2025-08-29,True,False,True,True,True,1016,1014
90029,2,9061,5017,ATN-00062,New,Retail,40146.16,43593.19,41839.03,-1742.87,366.28,-1376.59,401.03,860.88,,0.0,0.0,2973.63,,13,11.13,72,357.72,8.56,2025-09-20,True,False,True,True,True,1016,1014
90030,2,9046,5053,ATN-00047,Used,Lease,46139.39,45569.97,44413.47,1443.11,750.81,2193.92,566.88,419.92,36613.0,16007.5,11640.41,227.98,44963.13,11,12.04,36,192.64,558.17,2025-09-17,True,False,True,True,True,1016,1014
90031,1,9073,5030,ATN-00074,Used,Lease,53252.26,55769.32,52311.74,809.85,1826.84,2636.69,217.85,1979.53,37793.0,12146.4,4033.35,2491.45,52078.54,12,4.18,84,264.25,1562.59,2025-09-28,False,False,True,True,True,1006,1023
90032,1,9048,5096,ATN-00049,Used,Retail,55676.62,55504.06,53099.71,2526.91,1669.26,4196.17,433.6,803.33,,0.0,0.0,5738.14,,12,11.77,36,85.56,1583.7,2025-10-19,True,True,True,True,True,1020,1022
90033,2,9041,5081,ATN-00042,Used,Retail,48486.81,50182.22,49170.96,-734.15,753.43,19.28,445.7,2367.62,,0.0,0.0,5289.61,,14,10.26,36,539.72,213.71,2025-09-27,True,False,True,True,True,1006,1014
90034,2,9008,5048,ATN-00009,New,Lease,27807.61,28275.2,26296.85,1346.73,884.63,2231.36,597.1,1251.32,30191.0,14730.08,5701.66,3616.83,27270.52,14,5.53,72,377.23,507.4,2025-10-07,True,False,True,True,True,1020,1022
90035,2,9014,5116,ATN-00015,New,Lease,26746.0,28032.75,26319.24,376.76,464.06,840.82,619.75,3388.03,,0.0,0.0,504.94,25832.44,10,12.55,48,513.73,-49.67,2025-10-07,True,False,True,True,True,1006,1003
90036,1,9032,5069,ATN-00033,Used,Lease,51324.1,54049.76,50497.6,400.41,610.44,1010.85,620.58,1528.12,31359.0,24191.02,18804.74,1133.67,49622.659999999996,10,4.89,60,492.02,118.42,2025-09-10,True,True,True,True,True,1006,1027
90037,1,9031,5044,ATN-00032,Used,Lease,59698.38,63304.03,59658.7,-186.36,1760.2,1573.84,666.29,2423.48,31640.0,17329.53,8802.12,4326.57,57310.549999999996,13,11.48,60,135.75,1624.45,2025-09-10,False,False,True,True,True,1020,1023
90038,2,9007,5069,ATN-00008,Used,Retail,58394.9,62547.29,59212.53,-924.53,1546.88,622.35,660.71,301.41,39105.0,17034.88,2844.89,1122.43,,13,11.12,48,356.39,1190.49,2025-08-29,True,False,True,True,True,1021,1027
90039,2,9011,5058,ATN-00012,New,Retail,65124.02,64901.22,61589.07,3438.05,1905.38,5343.43,123.66,4153.43,36577.0,3963.31,2345.19,6084.68,,10,9.27,84,91.11,1814.27,2025-10-14,True,False,True,True,True,1021,1014
