spend_id,store_id,vendor_id,campaign_name,date,impressions,clicks,cost,leads,shows,sales
150030,1,200,Brand Search,2025-09-29,18401,65,66.95,2,1,0
150031,1,201,Email Blast Oct,2025-09-29,6570,89,263.21,4,2,1
150032,1,202,Used Car Promo,2025-09-29,4099,45,54.4,4,2,1
150033,2,203,Brand Search,2025-09-29,14261,219,162.71,14,4,1
150034,2,204,Used Car Promo,2025-09-29,5823,156,184.08,28,6,1
150035,2,205,Used Car Promo,2025-09-29,3508,12,143.31,1,0,0
150036,2,200,Weekend Sale,2025-09-30,10129,104,174.59,4,1,0
150037,1,201,Email Blast Oct,2025-09-30,2722,215,360.56,26,8,1
150038,2,202,Brand Search,2025-09-30,4135,51,173.91,10,1,1
150039,2,203,SUV Push,2025-09-30,12844,260,177.1,45,12,2
150040,2,204,Weekend Sale,2025-09-30,9045,66,197.53,9,3,1
150041,1,205,SUV Push,2025-09-30,9615,138,121.0,26,1,0
150042,2,200,SUV Push,2025-10-01,492,185,91.56,6,2,1
150043,1,201,Email Blast Oct,2025-10-01,7710,64,77.72,4,0,1
150044,2,202,Used Car Promo,2025-10-01,12399,214,132.15,7,1,0
150045,2,203,Weekend Sale,2025-10-01,19811,129,160.74,11,1,1
150046,1,204,Brand Search,2025-10-01,563,88,195.48,8,2,0
150047,2,205,SUV Push,2025-10-01,6408,252,132.01,5,2,0
150048,1,200,Brand Search,2025-10-02,14058,1,1.01,0,1,1
150049,1,201,Used Car Promo,2025-10-02,16935,270,302.61,51,13,4
150050,1,202,Brand Search,2025-10-02,8508,207,179.93,1,1,0
150051,2,203,Brand Search,2025-10-02,2985,93,74.15,11,2,0
150052,2,204,Weekend Sale,2025-10-02,8098,95,179.48,3,1,0
150053,1,205,Weekend Sale,2025-10-02,13889,270,50.63,15,7,1
150054,1,200,Brand Search,2025-10-03,1732,197,584.57,12,1,0
150055,1,201,Brand Search,2025-10-03,18047,228,582.08,39,19,0
150056,1,202,SUV Push,2025-10-03,1062,141,190.75,6,2,1
150057,1,203,Brand Search,2025-10-03,16265,54,162.13,9,3,1
150058,1,204,Weekend Sale,2025-10-03,5098,198,164.08,22,10,5
150059,2,205,Brand Search,2025-10-03,3228,132,137.28,9,3,1
150060,2,200,Weekend Sale,2025-10-04,2524,61,57.08,7,2,0
150061,1,201,Used Car Promo,2025-10-04,3911,84,38.54,5,2,1
150062,1,202,Used Car Promo,2025-10-04,15334,70,139.81,0,0,1
150063,1,203,SUV Push,2025-10-04,13983,54,54.12,8,0,1
150064,2,204,Used Car Promo,2025-10-04,19520,103,181.87,18,6,2
150065,2,205,Used Car Promo,2025-10-04,17546,61,79.69,5,0,0
150066,1,200,Weekend Sale,2025-10-05,3474,286,783.39,0,0,1
150067,1,201,Email Blast Oct,2025-10-05,11530,187,301.14,32,1,0
150068,1,202,SUV Push,2025-10-05,6362,150,169.76,4,0,1
150069,2,203,Used Car Promo,2025-10-05,12802,62,137.76,12,3,1
150070,2,204,Brand Search,2025-10-05,13055,132,149.96,0,1,1
150071,1,205,Brand Search,2025-10-05,3879,223,86.89,23,11,5
150072,2,200,Brand Search,2025-10-06,1799,164,379.35,26,4,0
150073,1,201,Weekend Sale,2025-10-06,15739,2,5.62,0,0,1
150074,1,202,Email Blast Oct,2025-10-06,5129,132,92.31,6,0,0
150075,2,203,Brand Search,2025-10-06,9595,277,125.51,14,0,0
150076,1,204,Brand Search,2025-10-06,19683,217,171.41,4,0,1
150077,2,205,Weekend Sale,2025-10-06,3307,75,105.25,2,1,1
150078,1,200,Email Blast Oct,2025-10-07,9528,198,287.32,15,3,1
150079,2,201,Used Car Promo,2025-10-07,2972,281,180.69,20,0,0
150080,1,202,Email Blast Oct,2025-10-07,8505,215,165.31,9,3,1
150081,1,203,Used Car Promo,2025-10-07,8086,241,132.77,20,1,0
150082,2,204,Weekend Sale,2025-10-07,10797,252,171.08,8,1,1
150083,2,205,SUV Push,2025-10-07,11185,50,104.34,2,1,0
150084,2,200,Email Blast Oct,2025-10-08,12561,116,52.09,9,2,1
150085,2,201,Brand Search,2025-10-08,15157,216,349.55,2,1,0
150086,2,202,Used Car Promo,2025-10-08,15095,13,80.54,2,1,0
150087,1,203,SUV Push,2025-10-08,15751,134,129.73,20,3,1
150088,2,204,Email Blast Oct,2025-10-08,15947,50,97.71,3,0,0
150089,1,205,Used Car Promo,2025-10-08,9886,37,125.49,5,2,1
150090,2,200,SUV Push,2025-10-09,5308,25,46.57,2,1,1
150091,2,201,Used Car Promo,2025-10-09,6092,230,423.89,19,0,1
150092,1,202,Used Car Promo,2025-10-09,4459,128,51.54,20,6,1
150093,2,203,SUV Push,2025-10-09,6767,34,191.46,1,1,1
150094,2,204,Weekend Sale,2025-10-09,19783,183,68.81,33,13,5
150095,2,205,Weekend Sale,2025-10-09,13318,26,184.39,5,0,1
150096,2,200,Brand Search,2025-10-10,5779,119,65.4,10,2,0
150097,2,201,Brand Search,2025-10-10,832,177,387.1,9,3,0
150098,2,202,SUV Push,2025-10-10,19535,167,178.06,27,4,0
150099,2,203,Email Blast Oct,2025-10-10,13483,164,117.53,30,14,7
150100,2,204,SUV Push,2025-10-10,5203,130,115.45,2,0,0
150101,2,205,SUV Push,2025-10-10,15625,92,81.51,12,5,0
150102,2,200,Brand Search,2025-10-11,1954,92,205.72,5,2,0
150103,2,201,Weekend Sale,2025-10-11,2457,54,138.96,5,2,1
150104,1,202,Weekend Sale,2025-10-11,16115,61,65.99,2,0,1
150105,1,203,Brand Search,2025-10-11,12188,278,67.1,17,8,3
150106,1,204,Weekend Sale,2025-10-11,5758,191,191.0,27,9,0
150107,1,205,Brand Search,2025-10-11,6133,91,54.44,5,2,1
150108,1,200,Used Car Promo,2025-10-12,6041,136,294.36,8,3,0
150109,1,201,Brand Search,2025-10-12,828,279,741.5,28,7,0
150110,1,202,Email Blast Oct,2025-10-12,6357,204,116.85,2,1,0
150111,1,203,Email Blast Oct,2025-10-12,6497,298,81.3,26,13,3
150112,1,204,Weekend Sale,2025-10-12,12344,143,136.64,27,1,1
150113,1,205,Used Car Promo,2025-10-12,14535,142,114.98,7,0,0
150114,2,200,Brand Search,2025-10-13,8523,166,92.67,22,9,4
150115,1,201,Weekend Sale,2025-10-13,19815,112,110.28,14,2,1
150116,2,202,Brand Search,2025-10-13,5245,44,184.22,1,1,0
150117,2,203,Used Car Promo,2025-10-13,18455,152,172.57,1,0,1
150118,2,204,Email Blast Oct,2025-10-13,10850,202,173.61,29,13,1
150119,1,205,Used Car Promo,2025-10-13,19271,105,123.39,19,9,2
150120,2,200,Used Car Promo,2025-10-14,16569,0,0.0,1,1,0
150121,1,201,Brand Search,2025-10-14,13526,186,483.76,1,0,0
150122,2,202,Email Blast Oct,2025-10-14,5628,289,139.25,10,1,0
150123,1,203,SUV Push,2025-10-14,1067,121,91.92,17,0,0
150124,1,204,Email Blast Oct,2025-10-14,6305,178,87.09,11,0,0
150125,1,205,Brand Search,2025-10-14,1334,34,73.09,2,1,1
150126,1,200,Used Car Promo,2025-10-15,11063,115,130.82,22,10,0
150127,1,201,Weekend Sale,2025-10-15,16524,297,746.72,51,17,4
150128,2,202,SUV Push,2025-10-15,8047,99,78.91,5,1,0
150129,1,203,Brand Search,2025-10-15,4333,218,51.09,34,0,1
150130,2,204,Email Blast Oct,2025-10-15,8829,64,162.9,1,0,0
150131,1,205,Brand Search,2025-10-15,10258,201,186.15,39,19,9
150132,1,200,Used Car Promo,2025-10-16,4674,60,61.87,7,3,0
150133,1,201,Used Car Promo,2025-10-16,10124,235,453.27,17,2,0
150134,2,202,Email Blast Oct,2025-10-16,19506,93,166.23,8,0,0
150135,1,203,Brand Search,2025-10-16,19200,50,69.87,6,3,0
150136,2,204,Used Car Promo,2025-10-16,12202,246,84.82,25,2,1
150137,2,205,Brand Search,2025-10-16,4952,163,150.17,32,12,2
150138,1,200,Brand Search,2025-10-17,832,72,195.47,6,0,1
150139,2,201,Brand Search,2025-10-17,18713,2,3.88,1,1,0
150140,2,202,Email Blast Oct,2025-10-17,5446,97,155.77,2,1,0
150141,1,203,Email Blast Oct,2025-10-17,10413,5,64.11,0,0,0
150142,1,204,Email Blast Oct,2025-10-17,1617,121,127.61,14,7,3
150143,2,205,SUV Push,2025-10-17,19839,238,196.07,23,11,5
150144,1,200,Weekend Sale,2025-10-18,3061,78,132.95,7,2,1
150145,1,201,Used Car Promo,2025-10-18,243,92,109.16,17,7,3
150146,1,202,Weekend Sale,2025-10-18,12524,252,174.43,12,1,0
150147,1,203,Email Blast Oct,2025-10-18,14090,285,103.14,22,9,0
150148,2,204,Weekend Sale,2025-10-18,17789,239,149.83,27,4,0
150149,2,205,Used Car Promo,2025-10-18,17278,183,129.56,34,5,1
150150,2,200,SUV Push,2025-10-19,13255,69,169.06,0,1,1
150151,2,201,Brand Search,2025-10-19,5514,299,401.34,59,6,2
150152,2,202,Brand Search,2025-10-19,12838,299,75.32,10,1,0
150153,1,203,Email Blast Oct,2025-10-19,17474,54,77.5,10,5,1
150154,1,204,Brand Search,2025-10-19,5639,228,132.87,12,4,1
150155,2,205,Weekend Sale,2025-10-19,5555,46,168.94,3,1,0
150156,2,200,SUV Push,2025-10-20,5734,293,569.73,50,0,1
150157,2,201,Brand Search,2025-10-20,1302,227,170.11,25,0,1
150158,2,202,Brand Search,2025-10-20,11839,297,114.55,11,0,1
150159,1,203,Email Blast Oct,2025-10-20,7589,9,142.18,0,0,0
150160,2,204,Brand Search,2025-10-20,17653,102,142.88,4,0,1
150161,1,205,Weekend Sale,2025-10-20,19394,44,83.33,0,0,1
150162,2,200,Used Car Promo,2025-10-21,15119,73,121.42,0,1,1
150163,1,201,Used Car Promo,2025-10-21,13696,56,143.39,0,1,1
150164,1,202,Weekend Sale,2025-10-21,7156,144,156.31,22,5,0
150165,1,203,Used Car Promo,2025-10-21,7479,166,119.45,12,2,1
150166,1,204,Used Car Promo,2025-10-21,4804,217,178.61,43,3,0
150167,1,205,Used Car Promo,2025-10-21,407,58,146.44,9,2,1
150168,2,200,Email Blast Oct,2025-10-22,4496,153,434.61,22,1,1
150169,2,201,Used Car Promo,2025-10-22,3811,147,408.66,6,3,0
150170,2,202,SUV Push,2025-10-22,17149,198,104.3,26,12,0
150171,2,203,Brand Search,2025-10-22,19805,128,93.85,19,0,1
150172,1,204,Used Car Promo,2025-10-22,10741,242,178.75,6,3,0
150173,1,205,Email Blast Oct,2025-10-22,6186,289,75.87,44,5,0
150174,2,200,SUV Push,2025-10-23,7182,286,445.52,17,4,0
150175,2,201,Used Car Promo,2025-10-23,8803,112,145.37,10,1,1
150176,2,202,SUV Push,2025-10-23,353,291,74.83,55,9,4
150177,2,203,SUV Push,2025-10-23,4483,193,112.7,36,1,1
150178,1,204,Weekend Sale,2025-10-23,16899,101,115.08,8,0,0
150179,2,205,Email Blast Oct,2025-10-23,7442,173,125.13,21,10,2
