inventory_snapshot_id,store_id,vehicle_id,date_key,days_in_stock,lot_location,price_to_market_pct,asking_price,vehicle_cost,floorplan_status,flooring_date,floorplan_interest_to_date,vdp_views_7d,srp_views_7d,photos_count,listing_status
156585,1,9043,20251023,104,Photo,101.73,50290.34,44943.86,True,2025-09-01,145.69,70,681,25,Listed
121532,1,9044,20251023,82,Detail,99.67,28268.21,28061.45,False,,0.0,440,1280,12,Not Listed
126976,2,9045,20251023,76,In Recon,98.42,22060.28,22265.72,True,2025-08-11,64.51,214,1803,10,Not Listed
187115,1,9046,20251023,64,Frontline,100.44,47754.7,44747.82,True,2025-09-21,181.52,350,1453,24,Listed
168566,2,9047,20251023,62,In Recon,96.17,55310.89,55926.9,True,2025-08-14,176.22,179,1535,29,Not Listed
190956,1,9048,20251023,88,Frontline,102.52,57904.08,53869.82,True,2025-08-26,78.25,406,1985,35,Listed
153230,2,9049,20251023,102,Frontline,96.08,38115.08,33336.31,True,2025-09-14,112.67,277,1307,9,Listed
189192,1,9050,20251023,104,Frontline,96.91,53256.64,55388.75,True,2025-09-27,100.29,231,1947,10,Listed
150822,2,9051,20251023,54,In Recon,104.45,22600.1,23149.72,True,2025-08-08,67.53,219,1268,40,Not Listed
165535,2,9052,20251023,117,In Recon,99.78,54925.02,52762.56,True,2025-08-22,344.28,130,1434,33,Not Listed
181295,2,9053,20251023,110,Detail,102.98,56001.48,46890.28,True,2025-08-30,244.36,350,1004,4,Not Listed
162242,2,9054,20251023,48,Frontline,95.39,30302.75,27965.52,False,,0.0,42,502,9,Listed
140607,2,9055,20251023,58,Frontline,98.8,42781.47,42564.06,True,2025-08-24,33.98,210,194,3,Listed
165807,1,9056,20251023,87,Photo,96.28,60179.66,56507.69,True,2025-08-20,140.16,356,1157,27,Listed
167729,2,9057,20251023,102,In Recon,104.25,45897.26,45549.51,True,2025-08-10,81.01,231,600,13,Not Listed
110069,1,9058,20251023,5,Frontline,97.9,27201.63,25220.55,True,2025-10-04,14.61,127,11,27,Listed
123943,1,9059,20251023,99,In Recon,102.45,26633.21,25971.98,True,2025-09-05,60.36,349,1195,34,Not Listed
115216,1,9060,20251023,29,Detail,102.14,40057.94,40016.61,False,,0.0,67,1516,39,Not Listed
190939,2,9061,20251023,3,Frontline,99.38,44768.74,42421.4,True,2025-10-21,6.81,54,857,33,Listed
187123,2,9062,20251023,4,Frontline,97.79,46643.23,44513.74,True,2025-10-15,2.87,259,1882,18,Listed
187115,1,9063,20251023,116,Frontline,104.28,56267.27,54747.58,True,2025-10-12,223.42,279,764,38,Listed
173356,1,9064,20251023,33,Wholesale Pending,99.78,54615.47,55819.64,True,2025-08-10,50.59,75,615,11,Not Listed
187282,2,9065,20251023,95,Frontline,102.01,45208.61,41114.99,True,2025-10-22,74.28,4,621,11,Listed
124728,2,9066,20251023,40,Photo,104.21,49800.45,47441.72,False,,0.0,109,202,14,Listed
109295,1,9067,20251023,49,In Recon,100.53,65597.68,57463.03,False,,0.0,439,1044,12,Not Listed
109514,1,9068,20251023,110,Frontline,102.61,30654.69,29298.51,False,,0.0,385,846,26,Listed
142006,2,9069,20251023,120,Frontline,97.25,56796.54,61835.01,True,2025-08-29,72.87,343,1487,26,Listed
166787,2,9070,20251023,50,Detail,99.5,26007.31,24636.71,True,2025-10-07,84.92,386,1301,13,Not Listed
154698,1,9071,20251023,30,Frontline,100.99,43636.43,42904.44,True,2025-08-29,59.99,360,1826,12,Listed
144758,2,9072,20251023,98,Frontline,101.41,34362.71,30669.89,True,2025-08-25,208.29,309,669,22,Listed
173424,1,9073,20251023,109,Frontline,104.48,55427.21,52441.76,True,2025-07-27,215.16,46,1416,34,Listed
135553,2,9074,20251023,43,In Recon,100.33,56358.71,51488.99,True,2025-08-04,50.33,116,641,23,Not Listed
125145,2,9075,20251023,116,Frontline,97.39,62659.49,59059.75,False,,0.0,210,570,19,Listed
190221,2,9076,20251023,76,In Recon,99.24,55493.9,56919.91,True,2025-10-06,190.43,351,740,37,Not Listed
194731,2,9077,20251023,70,Detail,98.21,46256.86,43251.91,True,2025-10-01,55.51,105,1224,24,Not Listed
135486,2,9078,20251023,23,Detail,103.87,34710.36,33168.41,True,2025-09-03,39.35,74,521,7,Not Listed
124763,2,9079,20251023,32,Frontline,96.24,27627.09,24212.04,True,2025-09-03,16.26,232,1914,38,Listed
