progress_id,program_id,store_id,date,units_to_date,target_units,bonus_earned_flag,est_bonus_amount
180081,401,1,2025-11-20,62,40,True,14849.99
180082,401,1,2025-11-21,65,40,True,7381.72
180083,401,1,2025-11-22,68,40,True,3668.5
180084,401,1,2025-11-23,70,40,True,15015.49
180085,401,1,2025-11-24,73,40,True,11901.22
180086,401,2,2025-11-25,75,40,True,17779.2
180087,401,2,2025-11-26,77,40,True,18160.24
180088,401,1,2025-11-27,77,40,True,22963.35
180089,401,1,2025-11-28,78,40,True,11094.83
180090,401,2,2025-11-29,78,40,True,9760.04
180091,401,2,2025-11-30,78,40,True,18229.87
180092,401,2,2025-12-01,80,40,True,21909.98
180093,401,2,2025-12-02,83,40,True,24945.05
180094,401,2,2025-12-03,84,40,True,4495.05
180095,401,2,2025-12-04,86,40,True,23071.23
180096,401,1,2025-12-05,88,40,True,24405.58
180097,401,2,2025-12-06,89,40,True,1841.81
180098,401,1,2025-12-07,91,40,True,3243.5
180099,401,2,2025-12-08,94,40,True,148.44
180100,401,2,2025-12-09,97,40,True,1210.47
180101,401,2,2025-12-10,97,40,True,5912.6
180102,401,2,2025-12-11,100,40,True,5967.65
180103,401,2,2025-12-12,100,40,True,1100.42
180104,401,2,2025-12-13,100,40,True,6649.55
180105,401,1,2025-12-14,100,40,True,273.72
180106,401,1,2025-12-15,101,40,True,14809.13
180107,401,1,2025-12-16,102,40,True,20137.35
180108,401,1,2025-12-17,103,40,True,3579.06
180109,401,1,2025-12-18,104,40,True,15207.75
180110,401,1,2025-12-19,106,40,True,17213.99
180111,401,2,2025-12-20,109,40,True,14210.59
180112,401,1,2025-12-21,111,40,True,21436.7
180113,401,2,2025-12-22,112,40,True,1041.5
180114,401,1,2025-12-23,115,40,True,3326.2
180115,401,2,2025-12-24,118,40,True,22930.79
180116,401,2,2025-12-25,121,40,True,16539.66
180117,401,2,2025-12-26,123,40,True,24537.06
180118,401,1,2025-12-27,124,40,True,7975.57
180119,401,2,2025-12-28,126,40,True,23143.22
180120,401,1,2025-12-29,127,40,True,3108.89
180121,401,1,2025-12-30,127,40,True,17959.16
180122,401,2,2025-12-31,130,40,True,15731.26
