appointment_id,lead_id,appointment_datetime,show_flag,showroom_visit_id
60113,70129,2025-08-27T13:04:00,True,65045.0
60114,70239,2025-09-06T09:23:00,False,65035.0
60115,70139,2025-10-14T08:18:00,True,65026.0
60116,70125,2025-10-13T22:15:00,True,65016.0
60117,70098,2025-08-27T03:39:00,True,65004.0
60118,70209,2025-09-02T04:31:00,True,65070.0
60119,70082,2025-10-03T05:53:00,True,65003.0
60120,70205,2025-09-20T04:43:00,True,65072.0
60121,70179,2025-08-28T08:42:00,False,65011.0
60122,70197,2025-10-13T05:59:00,False,65073.0
60123,70073,2025-09-16T01:29:00,True,65073.0
60124,70133,2025-09-26T23:03:00,True,65074.0
60125,70045,2025-10-23T04:08:00,False,65057.0
60126,70008,2025-10-19T08:32:00,False,
60127,70061,2025-10-19T05:04:00,True,65011.0
60128,70175,2025-09-25T00:36:00,True,65018.0
60129,70018,2025-10-03T05:09:00,True,65006.0
60130,70121,2025-10-26T04:24:00,True,65039.0
60131,70160,2025-09-06T23:02:00,False,
60132,70131,2025-10-07T02:23:00,True,65079.0
60133,70232,2025-09-24T01:10:00,True,65006.0
60134,70043,2025-10-18T01:35:00,False,
60135,70170,2025-10-07T11:25:00,True,65081.0
60136,70069,2025-10-03T06:34:00,False,
60137,70123,2025-09-09T01:54:00,True,65030.0
60138,70155,2025-10-16T03:17:00,True,65024.0
60139,70159,2025-09-03T23:19:00,True,65084.0
60140,70117,2025-09-30T03:39:00,True,65085.0
60141,70004,2025-09-09T23:31:00,True,65086.0
60142,70157,2025-10-25T11:45:00,False,65090.0
60143,70029,2025-10-12T21:44:00,False,65008.0
60144,70092,2025-10-06T03:53:00,True,65087.0
60145,70115,2025-10-20T04:44:00,True,65088.0
60146,70144,2025-09-12T04:33:00,True,65001.0
60147,70164,2025-09-08T10:43:00,False,65085.0
60148,70102,2025-10-02T01:09:00,False,65000.0
60149,70203,2025-09-28T01:14:00,True,65090.0
60150,70027,2025-09-13T13:23:00,True,65091.0
60151,70235,2025-08-28T20:22:00,True,65030.0
60152,70036,2025-10-09T09:58:00,True,65093.0
60153,70003,2025-10-14T01:37:00,True,65063.0
60154,70229,2025-10-20T04:37:00,True,65095.0
60155,70105,2025-10-17T02:07:00,False,
60156,70210,2025-09-27T23:20:00,False,
60157,70120,2025-10-17T04:37:00,False,
60158,70154,2025-09-18T09:40:00,True,65053.0
60159,70222,2025-08-29T09:04:00,False,
